|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Doctorate :
0|349|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|5 - 10 years|"Job description
Primary Skills:
Excellent knowledge in Web page web application testing.
Authoring Experience component testing experience in Adobe Experience Manager is desirable
API testing
Secondary Skills:
Knowledge in Microsoft .NET for automation purpose is an added advantage.
Responsibilities:
Candidate should have hands on work experience (3 -5 years) in Quality Assurance
Experience in manual testing, Web application testing, Black box testing, and review and analyze system specifications, work on creating test cases, test scenarios.
Experience with Agile (SCRUM) projects and good understanding of Agile ceremonies
Should have working knowledge of JIRA, Microsoft ADO tools
Automation testing experience is a plus
Should have excellent communication skill .
Should have good SQL query skills; knowledge on PostgreSQL is desirable, but not essential.
Experience with Finance domain applications in general and Tax domain applications in specific will be added advantage
Should be capable of learning the application functionality and expressing the queries effectively to the stakeholders both verbally and written
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Engineering servicesManual testingPostgresqlBlack Box TestingTest scenariosMedical insurancemicrosoftAdobeJIRASQL"|['Engineering services', 'Manual testing', 'Postgresql', 'Black Box Testing', 'Test scenarios', 'Medical insurance', 'microsoft', 'Adobe', 'JIRA', 'SQL']|Manual QA|Not Disclosed|
1|27|1|Post Graduation Not Required|30+ days ago|Any Graduate|1 - 2 years|"Job description
What do you need to do (Role and Responsibilities)
Create 2D characters for mobile game icons, App Store screenshots for all in-game graphics
You should be able to work on existing characters and create various expressions poses.
Align with the different styles of different games
Go creatively above and beyond the ask by proposing new design approaches
Who could you be (Background, Experience, Skills)
A minimum of 1-2 years of experience in the gaming/animation industry
Have strong character illustration skills
Have an overall aesthetic sense of graphic and design
Be organized, meticulous, and have thorough working habits
Pick up new technical skills and concepts, quickly
Match various existing art styles and strongly differentiate between styles
Have the ability to work in a fast-paced environment
RoleGraphic Designer
Industry TypeIT Services & Consulting
Functional AreaDesign, Creative, User Experience
Employment TypeFull Time, Permanent
Role CategoryCreative
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
GraphicsIllustrationIntellectual propertyAnimationGamingAdvertisingFine arts"|['Graphics', 'Illustration', 'Intellectual property', 'Animation', 'Gaming', 'Advertising', 'Fine arts']|Artist- 2D|Not Disclosed|
2|121|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|2 - 6 years|"Job description
Good knowledge in SQL server database minimum exp should be 3 years
Knowledge for creating functions and stored proceduresCreate database triggers
Debugging and optimization skillsSQL skillsAbility to do data modellingOptional
Exposure to Azure PaaS (SQL service)
Create and maintain BI reports using power BI
RoleDatabase Architect/Designer
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Data modelingPAASDebuggingDatabasepower biStored proceduresSQL"|['Data modeling', 'PAAS', 'Debugging', 'Database', 'power bi', 'Stored procedures', 'SQL']|DATABASE DEVELOPER|Not Disclosed|
3|129|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|2 - 7 years|"Job description
Key Responsibilities:
Understand business functionality of our solution through the existing NRT scenarios
Minimal Java Script coding, automation test planning and design, test environment set up, analyze test cases, develop scripts, enhance scripts, scripts execution, monitor test runs, analyze test results and defect reporting
Build automated test scripts for provided scenarios using Testing Automation software (or other tool upon IVALUA decision) and define what each step does. You will also be responsible for writing new test cases if new product functionality is developed. Ivalua uses Testim for its automation testing.
Manual and regression testing efforts will have to be taken up from time to time if required.
Provide ongoing support for test automation, follow up test execution results, analyze failures, create RD requests in the Extranet where needed
Report to QA Automation responsible for (Planning, status, staffing, progress, daily, weekly status reports)
Continuous improvements (Technical adaptation, performance, robustness, new ideas for scenarios, etc...)
Skills You Will Need to Succeed:
5+ years of experience in all phases of software testing, ideally in a windows environment.
Experience using various automation testing tools for test execution and analysis
Test Automation tool experience such as Selenium would be a big plus
Basic JavaScript code development
Experience working in an Agile environment together. Certifications from ISTQB would also be a big plus
Soft skills: Excellent communication skills (this position will be working with teams across other continents), problem solver and self-driven.
Knowledge of SRM, Supply Chain, Procurement is also a big plus. Some travel may be necessary (~10%)
Preferred Education:
Bachelor (BS) degree in Computer Science, Software Engineering or a closely related field or foreign equivalent.
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
ProcurementSupply chainComputer scienceTesting toolsCodingAgileWindowsSeleniumTest casesSRM"|['Procurement', 'Supply chain', 'Computer science', 'Testing tools', 'Coding', 'Agile', 'Windows', 'Selenium', 'Test cases', 'SRM']|QA Automatization|Not Disclosed|
4|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|2 - 7 years|"Job description
Skills Required: 2+ year of experience in PHP Laravel Framework
Good understanding of MySQL database structure and indices
Experience in MVC ORM Object-Oriented Programming
Hands-on experience in HTML5, CSS3, AJAX, jQuery
Shine with engineering excellence by developing test infrastructures, writing documentation, ensuring high performance, and following an agile development methodology.
Write entirely new code and maintain and update existing code.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
jQueryhtml5Agile developmentMySQLDatabasePHPMVCObject oriented programmingAjaxCSS3"|['jQuery', 'html5', 'Agile development', 'MySQL', 'Database', 'PHP', 'MVC', 'Object oriented programming', 'Ajax', 'CSS3']|Senior Laravel Developer|Not Disclosed|
5|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|8 - 10 years|"Job description
Salesforce Vlocity Architect will lead and participate in aspects of the solution architecture which includes technical requirements, design, build, test, documentation, peer review, deployment and support of application. As a member of the team you need to work with Business SMEs, Analysts, developers, testers on interpretation or translation of business requirements into the overall solution architecture.
Position Type: Contractor
Primary Duties and Responsibilities:
Assist in defining solution architectures for Vlocity and Salesforce
Integrate Vlocity/Salesforce solution architecture in the overall platform architecture.
Translate business and functional requirements into Velocity/Salesforce solution architecture.
Assist with documentation (release notes, build instructions) as required.
Assist with troubleshooting issues discovered during QAT/UAT/ Performance (testing phases).
Facilitate/lead reviews (walkthroughs) of technical specifications and program code with other members of the technical team, communicating design, requirements, feature set, functionality and limitations of
Contribute to and work to meet project schedules by providing accurate estimates of effort required for development deliverables, by providing updates on project progress to development and project management, and by escalating issues that might affect project success to management.
Maintain technical skills and expertise through continuing education and training.
Collaborate/Partner with other teams, both internal and external, including 3rd party vendors, Enterprise Testing, Release Planning and Management, Business Systems Analysis, Project Management, and Application Support on successful delivery of systems enhancements.
Desired Experience and Skills:
Previous end-to-end software delivery lifecycle experience.
Sound in Vlocity implementation
Knowledge of Vlocity processes and Integration skills.
Experience knowledge in solution design and development of advanced customizations utilizing Salesforce.com and Vlocity.
Strong Hands on experience in Vlocity/Salesforce Configuration and Customization, API Integration, Visualforce Pages, Triggers,Lightning, Force.com IDE, Apex Classes, Salesforce Object Query Language(SOQL) and Java-script
Implementation experience of Vlocity Telecom product and knowledge of Vlocity platform offerings.
Thorough knowledge of coding best practices and understanding of Vlocity/Salesforce implementation.
Very good experience in integrating Vlocity/ alesforce with external systems.
Hands on experience in Salesforce and Vlocity using Omni Script, Card UI Framework, DataRaptor, Salesforce Lightening Framework, Process Libraries.
Well versed with Vlocity Out of the box features and functionality
Ability to work with Global teams and deliver work effectively
Follow best practices required to build, unit test, and configuration management
Excellent communication and interpersonal skills
Telco industry experience is a plus.
Good communication skills and ability to read, write, speak and understand English
Relevant Years of Experience:
8-10 years of relevant experience
Must Have Technical Qualifications:
Vlocity/Salesforce Certifications
RoleTechnical Architect
Industry TypeTelecom / ISP
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Solution architectureTelecomApplication supportInterpersonal skillsCodingProject managementConfiguration managementPerformance testingTroubleshootingSalesforce"|['Solution architecture', 'Telecom', 'Application support', 'Interpersonal skills', 'Coding', 'Project management', 'Configuration management', 'Performance testing', 'Troubleshooting', 'Salesforce']|Vlocity Architect|Not Disclosed|
6|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|7 - 13 years|"Job description
Principal Application Developers on the Global Business Applications team are responsible for designing, engineering, and developing new features and functionality, enhancing application capabilities on Rocket s critical back-office systems and platforms, and serving as thought leaders through consultation, training, and mentoring for the extended team. The Principal Application Developer - Salesforce is responsible for such activities with a primary focus on the Salesforce platform.
Essential Duties and Responsibilities:
Design and engineer solutions for complex Salesforce use cases, which they will then develop themselves or hand off to other developers for implementation.
Serve as a leading contributor to architectural decision-making for the Salesforce Platform.
Provide consultation, mentoring, and training related to Salesforce development best practices, patterns, and processes.
Work with stakeholders and effectively partner with team members to design thoughtful solutions.
Analyze and improve existing system functionality and customizations.
Proactively identify opportunities to streamline and optimize the codebase.
Identify and remediate bugs and defects.
Required Qualifications:
10+ years of software engineering / application development experience. Minimum 5 years experience developing in Salesforce.
Apex / Visualforce / Lightning Web Component (LWC) / SOQL / SOSL experience in Salesforce
Solid understanding of Salesforce governor limits and related design patterns (asynchronous Apex, trigger factories including re-entry flow control, etc.)
Experience using and creating web services (SOAP and REST, XML and JSON payloads / responses)
Deep familiarity with Salesforce deployment processes (ANT, Change Sets, third party DevOps tools, etc.)
Expert with key Salesforce tools (VS Code extensions for Salesforce, Data Loader)
Extensive experience coding in one or more languages.
Strong theoretical knowledge of object-oriented programming
Strong verbal and written communication skills.
Able to work on less-defined projects.
Self-manages tasks.
Works well in a team. Team oriented, collaborative, accountable and dependable.

Preferred Qualifications:
Salesforce certifications in the development, administrator, and/or architect tracks.
Some JavaScript / JavaScript library (JQuery, AngularJS, etc.) experience.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
jQueryArchitectureCodingXMLBack officeJavascriptGeneticsApplication developmentJSONSalesforce"|['jQuery', 'Architecture', 'Coding', 'XML', 'Back office', 'Javascript', 'Genetics', 'Application development', 'JSON', 'Salesforce']|Principal Application Developer - Salesforce|Not Disclosed|
7|80|1|Post Graduation Not Required|30+ days ago|Any Graduate|2 - 6 years|"Job description
The Data Analyst takes responsibility for creating analytics and visuals in dashboard format, ingesting and mining raw data, and providing information to downstream data consumers. To do well in this role you need a very fine eye for detail, experience as a data analyst, and deep understanding of the analytics tools and databases.
Essential Duties and Responsibilities :
Ingest data and analyze results using statistical techniques and provide ongoing analysis of data to the organization
Acquire data from primary or secondary data sources using ELT tools such as Fivetran, AWS Lambda and Python
Identify incomplete data sets and work to fill in missing data elements
Build out predictive ML models for varying use cases
Required Qualifications:
Proven working experience as a Data Analyst or Data Scientist
Technical expertise regarding data models, data mining and segmentation techniques
Strong knowledge of and experience with analytics tools (Looker, PowerBI, MicroStrategy, Tableau), databases (Snowflake preferred), programming (XML, Javascript, or ETL frameworks)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Strong communication and documentation skills.
Adept at queries, report writing and presenting findings
BS in Mathematics, Economics, Computer Science, Information Management or Statistics preferred
RoleBusiness/EDP Analyst
Industry TypeIT Services & Consulting
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryOperations
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
MiningComputer scienceMicrostrategyXMLJavascriptGeneticsInformation managementData miningAnalyticsPython"|['Mining', 'Computer science', 'Microstrategy', 'XML', 'Javascript', 'Genetics', 'Information management', 'Data mining', 'Analytics', 'Python']|Data Analyst|Not Disclosed|
8|180|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|2 - 5 years|"Job description
Experience in performing manual testing on web application.
Extensive experience in preparing test scenarios, writing test cases
Good working knowledge of black box testing
Good Knowledge of Software Development Life Cycle(SDLC) and software testing life cycle (STLC)
Experience using test management tools like JIRA, Zephyr.
Familiarity with Selenium or any automation tool is a plus
Good knowledge on bug tracking, bug analysis, and bug reporting
Experience in Adhoc, Smoke, Sanity, Retesting, Regression and Exploratory testing
Experience working in Agile methodology.
Good knowledge of SQL queries and database testing
Collaborate with team and ability to interact with different stakeholders.
Perform manual functionality, data validation, regression, usability, and system level tests.
Ability to communicate effectively with others using spoken and written English.
RoleQuality Assurance/Quality Control Executive
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryQA/Testing/Documentation
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
AutomationManual testingTest managementBlack Box TestingTest scenariosAgile methodologySeleniumTest casesJIRASDLC"|['Automation', 'Manual testing', 'Test management', 'Black Box Testing', 'Test scenarios', 'Agile methodology', 'Selenium', 'Test cases', 'JIRA', 'SDLC']|Quality Analyst|Not Disclosed|
9|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|3 - 8 years|"Job description
Ability to understand business requirements and convert it into system requirements
Windows development experience using C# and the .NET Framework
Good understanding and working knowledge of API Development
Solid understanding of object-oriented design principles
Experience writing efficient database queries
Using CPU / memory profilers to solve problems
Domain knowledge is an added advantage
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Object oriented designDatabaseWindows"|['Object oriented design', 'Database', 'Windows']|Interface Developer|Not Disclosed|
