|Doctorate :|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary
0|Doctorate Not Required|86|3|Post Graduation Not Required|8 days ago|B.Tech/B.E. in Computers, B.Sc in Any Specialization, BCA in Any Specialization|5 - 10 years|"Job description
AAPNA Infotech, (A CMMI Level 3 Certified Organization) is a leading provider of Enterprise Software Development Solutions & Quality Assurance services, and one of the best places to work in India. Our Headquarter is in Delhi with operational Branch in Gurgaon and pilot one in Durgapur. We have client base across in USA, India & Australia. We take pride in our ability to deliver scalable, robust, and highly flexible solutions to clients across the globe. Aapna Infotech has been rated as a top software development company in Brisbane (Australia) by Superb Companies in 2020. Glad to let you know that Aapna is a certified Microsoft Gold Partner Organization as well.
Since Aapna is now a Virtual Organization, we would love you to join us, from any part of India. Only ask is for you to operate like a Commando, and to join only if you believe in our Vision, Culture, and our Values. As we say for us to be working and operating like a Commando, you must choose us as well. Only when it is your choice as well to be part of this organization, we embark upon a long-lasting relationship and achieve newer heights every time.
We look for hardworking people who do things well with laughter and grace, who work well as a team. Our team of 175+ highly technical resources is set in a TASK force format and operates with Commando - like precision. Whereas we work mostly with clients in the USA, Australia, and India, we also work with clients such as the World Bank, and the United Nations.
For the last 14 years, we have been delighting our customers with our customer-centric and employee first approach and nominated as one of the Great Place to work in India.
Job Description -
Design implement and support highly scalable applications and web services using Microsoft technologies (ASP.NET, C#, MVC, WCF, SQL Server, Windows Forms, Web API/Rest API, Agile/Scrum).
Candidates should have the ability to train and work along with development teams to ensure timelines and quality deliveries.
Lead project estimations, system architecture and performance engineering of projects
Support software engineers on the team with guidance, experience, oversight, advice and code reviews
Work with the quality assurance team to ensure that the software is fully unit tested, can be performance tested, and passes quality requirements
Desired Candidate Profile
Candidate needs to have more than 4+ years of experience with IT industry.
Minimum 4+ years experience in designing and developing applications on the .NET platform.
More than 2+ year of experience with MVC, WCF framework is needed.
Experience in web application Architecture and Development with hands on expertise in delivering solutions based on/customizing ASP .NET 4.0 / MVC and above.
Expert-level knowledge of SQL Server programming.
Strong understanding of OOPS fundamentals, Entity Framework, LINQ and REST APIs.
Good knowledge of SQL Server Reporting Services and Crystal Reports.
Proficient understanding of code versioning tools (TFS/SVN/Git).
Proficient understanding of build/release management processes.
Must have experience of working in Agile/Scrum environment.
Must have some experience developing Windows-based applications.
Must possess very good logical, analytical and communication skills.
Candidates with knowledge of US Mortgage process will be given preference.
Must be willing to travel abroad for short- and long-term duration.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers, B.Sc in Any Specialization, BCA in Any Specialization
PG :Post Graduation Not Required
Doctorate :Doctorate Not Required
Key Skills
C#LINQWindows FormsOOPSASP.Net.NetEntity FrameworkSQL ServerWCFMVCDesktop Application Development.NET Framework"|['C#', 'LINQ', 'Windows Forms', 'OOPS', 'ASP.Net', '.Net', 'Entity Framework', 'SQL Server', 'WCF', 'MVC', '.NET Framework']|.Net Developer - Permanent Work From Home - Aapna Infotech|₹ 8,00,000 - 14,00,000 P.A.
1||418|1|MS/M.Sc(Science) in Microbiology, M.Tech in Any Specialization|13 days ago||2 - 5 years|"Job description
Roles and Responsibilities

A) Daily calibration of Equipments
B) Daily Monitoring of cleaning and recoding the same.
C) Water sampling and analysis as per the schedule.
D) Environment monitoring of listed areas in lab and plant as per SOP.
E) MLT of finished product as and when received for analysis.
F) Update documents in raw data sheet for all analysis.
G) Release of test reports to the concerned at the end of analysis.
H) Zone of Inhibition testing for antibacterial projects at R&D (KRC &KBC).
I) Antibacterial Efficacy studies of in-house /market formulation.
J) Biochemical assay for irritation evaluation of formulated samples.
K) Culture Maintenance and Sub culturing of Bacteriological and fungal cultures (Inoculated cultures using spreading, streaking and pour plate techniques)
L) Growth Promotion Test for Culture Media, Environmental Monitoring, Sampling of Products- FG, RM, Testing of Disinfectant by Efficacy Test.
M) Responsible for EMS and QMS activity.

Desired Candidate Profile
Basic Computer skill

Perks and Benefits
As per Company Policy well provide.

RoleMicrobiologist
Industry TypePharmaceutical & Life Sciences
Functional AreaMedical, Healthcare, R&D, Pharmaceuticals, Biotechnology
Employment TypeFull Time, Permanent
Role CategoryR&D
Education
PG :MS/M.Sc(Science) in Microbiology, M.Tech in Any Specialization
Key Skills
Environmental Monitoring
CulturingQCBioprocess EngineeringEfficacy TestTest ReportingWater TestingWater SamplingAnimal BiotechnologyLabFermentation Technology
Skills highlighted with ‘‘ are preferred keyskills"|['Environmental Monitoring', 'Culturing', 'QC', 'Bioprocess Engineering', 'Test Reporting', 'Water Testing', 'Animal Biotechnology', 'Lab', 'Fermentation Technology']|QC Microbiologist|₹ 2,25,000 - 3,00,000 P.A.
2||42|20||13 days ago|Graduation Not Required|7 - 9 years|"Job description
Requirement:-

Min 4+ years of hands-on experience building DevOps solutions
Expertise in tools like Jenkins, Bamboo, Atlassian products like Bitbucket, confluence and JIRA
Expertise in Build and deployment.
Expertise in CICD, Blue/green deployment implementations
Expertise in release management
Sound Knowledge in any cloud technology, preferably PCF.
Proficiency in Java Programming.
Proficient in Object-Oriented Analysis and Design

Kindly Share Your Updated Resume to -- tirumalababu@centraprise.com
RoleTeam Lead/Technical Lead
Industry TypeBPO / Call Centre
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Graduation Not Required
Key Skills
JenkinsDevopsKubernetes
ConfluenceBuildJIRABamboo
Skills highlighted with ‘‘ are preferred keyskills"|['Jenkins', 'Devops', 'Confluence', 'Build', 'JIRA', 'Bamboo']|DevOps Lead - Immediate To 15 days|Not Disclosed
3||421|4||14 days ago|B.Tech/B.E. in Any Specialization, Diploma in Any Specialization|2 - 7 years|"Job description
Roles and Responsibilities
Hi,


Job Description:
Monthly production planning with respect to monthly sales projects and AOP.
Daily production with respect to sale indent and minimum inventory level.
Utilization of man, machine, material and resource at given benchmark.
Process optimization and innovation to chase the departmental PIPs.
Effective cross functional coordination with harmony to be maintained.
Prepare budgets and cost calculation for the purpose of allocation of funds.
Come out with innovative ideas for process and product improvements.
Implement FSMS, ISO, 5S, GMP and FSSAI norms.
Train shop floor staff.
Handle customer complaint along with QA for traceability and batch history.

Experience: 1-3 Year
Designation: Executive -Production
Position -Technical Officer
Education: Graduate-DT,IDD
Working Location: Vashi ,Navi Mumbai
Reporting To: Manager
Interview Mode-1st Round -Telephonic /SKYPE

Kindly Send your updated Resume with below mention details:
Current CTC:
Expected CTC:
Notice Period:
Current Location:
Prefer Location:
Availability of Interview:


Perks and Benefits
other benefits.

RoleProduction Manager
Industry TypeFMCG
Functional AreaProduction, Manufacturing, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProduction/Manufacturing/Maintenance
Education
UG :B.Tech/B.E. in Any Specialization, Diploma in Any Specialization
Key Skills
milkPRODUCTION EXECUTIVEcurdTECHNICAL OFFICEoperatorDAIRY"|['milk', 'operator', 'DAIRY']|Technical officer ,Turbhe Plant ,Prabaht Dairy,Lactalis India|Not Disclosed
4|Any Doctorate, Doctorate Not Required|118|5|PG Diploma in Any Specialization, Post Graduation Not Required, Other Post Graduate, MBA/PGDM in Any Specialization, M.Com in Commerce|8 days ago|B.Com in Commerce, Any Graduate, Diploma in Any Specialization|1 - 3 years|"Job description
Job description
RESPONSIBILITIES INCLUDE, BUT NOT LIMITED TO:

Technical skills:

o Developing Knowledge of income, gift, estate, trust taxation
o Developing Knowledge of GAAP and IFRS for various industries
o Accurately prepare tax returns as assigned, complexity determined by level and years of experience.
o Asks questions about unknown accounting and tax areas, researches independently & seeks guidance from partner Provides Quality Finished Product
o Begins to perform tax research

Client Management skills:

o Timely delivers all client projects - tax returns, estimates, research, accounting work, Management accounting like monthly, quarterly & yearly FS etc.
o Starts to participate in client meetings/calls

Administrative skills:

o Communicates effectively & timely with internal and external parties
o Complies with firm/tax department policies (timesheets, to do lists, attendance protocol, vacation, out of office at meetings, etc.)
o Meets Target Chargeable hours - Minimum of 1700 per calendar year
o Uses down time effectively

Personal Qualifications:

o Team Player
o Positive demeanor
o Professional attire & appearance
o Enthusiastic

Requirements: 
Expert in Accounting and tax work basics 
Qualified Chartered Accountant, Certified Public Accountant (US), or other qualified professionals in the accounting, auditing and tax fields will be a plus.
Good Knowledge and experience of MS office software is must
Good Communication skills 
Ready to learn new software , tax and audit work
Quick learner , enthusiastic, positive demeanor and a team player
Ready to work long hours in busy season times
Able to meet the deadlines & work based on the urgency of the projects
Knowledge / Experience of US tax and auditing/Accounting work is a plus
Knowledge of softwares like Quickbooks, Xero, bill.com is preferred.
Perks and Benefits 
Perks and Benefits Other Benefits: Provident Fund, Gratuity, Medical Insurance, Group Personal Accident Insurance etc. employment benefits depending on the position
RoleAccounts Executive/Accountant
Industry TypeAccounting / Auditing
Functional AreaAccounts, Finance, Tax, Company Secretary, Audit
Employment TypeFull Time, Permanent
Role CategoryAccounts
Education
UG :B.Com in Commerce, Any Graduate, Diploma in Any Specialization
PG :PG Diploma in Any Specialization, Post Graduation Not Required, Other Post Graduate, MBA/PGDM in Any Specialization, M.Com in Commerce
Doctorate :Any Doctorate, Doctorate Not Required
Key Skills
Client ManagementWork ManagementTax ReturnsManagement AccountingTechnical SkillsQuickbooksTaxationManagement SkillsTax ResearchAdministrative Skills"|['Client Management', 'Work Management', 'Tax Returns', 'Management Accounting', 'Technical Skills', 'Quickbooks', 'Taxation', 'Management Skills', 'Administrative Skills']|BAS Staff|Not Disclosed
5||29||Other Post Graduate|14 days ago|Any Graduate|3 - 8 years|"Job description
Set up/review of reinsurance policy in the legacy systems after reviewing the RI contract in legacy reinsurance systems.
• To review, analyze quota share reinsurance premium. Coordination with both RI claims and Underwriters followed by preparation of reinsurance statement of account.
• Checking RI applicability on gross claim movements. Calculation/review of Reinsurer’s share of claims for FAC Prop & simple XOL contracts.
• Creating/reviewing Initial loss notifications,collection notes, responses etc to be sent to reinsurers
• Processing/reviewing the claims recoveries in Genius/the Frame/ProCede/ recoveries calculated offsystem
• Reviewing & resolving the Broker/Reinsurers queries in regards to the claims ceded to them.
• Provide relevant process reports on timely basis along with ensuring accuracy of the reports
Required Candidate profile
Essential ability to follow/modify/create processes/procedures manuals
• Self-motivated with good use of time management skills
• Flexible, able to deal with changing priorities
• Ability to work in a team environment
• Accuracy and thoroughness in all operational task (should have an “eye for detail” )
• Client service attitude & experience
• Accuracy and thoroughness in all administration/operational tasks
• Confidence to raise issues with local management without delay
• Ability to adapt to change and multi-Tasking Competency
RoleOther
Industry TypeInsurance
Functional AreaOther
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
PG :Other Post Graduate
Key Skills
Ceded Re Technical OperationsAssociate Consultant"|['Associate Consultant']|Associate Consultant, Ceded Re Technical Operations|Not Disclosed
6||96||Other Post Graduate|14 days ago|Any Graduate|3 - 8 years|"Job description
Liaise with Ceded Re/Middle Office/Underwriters/Client Relationship Managers and Claims Handlers to establish any special payment requirements. 
Update and maintain Captive Information spreadsheet with all contact information and special requirements to ensure key level of service is always met. 
Establish strong relationships with external contacts for all areas of responsibility.
Maintain accurate cash flow information and full records.
Develop and maintain strong collaboration and working relationships with London and Paris Captive Account Co-ordinators who are responsible for credit control of Captive balances due to AXA XL
Ensure they are included in billing information sent externally to Captives.
This role requires the individual to provide a high level of service and accuracy to all clients at all times.  Adhering to the bespoke requirements at all times for the Captive portfolio, so workload management and attention to detail is key.
Ensure regular meetings are held with Captive Account Coordinators to discuss any issues or challenges regarding specific accounts, including Ceded Re Management and/or Captive Managers as and when required.
Develop and maintain strong collaboration and working relationships with London and Paris Captive Account Co-ordinators who are responsible for credit control of Captive balances due to AXA XL.
Ensure they are included in billing information sent externally to Captives.
Ensure regular meetings are held with Captive Account Coordinators to discuss any issues or challenges regarding specific accounts, including Ceded Re Management and/or Captive Managers as and when required.
Ensure all reports undertaken within Technical Accounting are fully narrated and followed up accordingly within communicated deadlines.  If this cannot be met ensure Management is notified immediately.
Demonstrate an increased level of responsibility for all areas within reporting remit, deputising for peers as and when required.
Identify any training requirements needed in order to complete the role to a successful level. Liaising with management and peers on a regular basis.
Required Candidate profile
5 years’ experience in Insurance Industry in particular Reinsurance or Finance field.
PC Skills – Microsoft Word/Excel and Email essential .
Accuracy and attention to detail are essential .
Excellent communication skills are required.
Ability to prioritise, multi task and work under pressure.
Ability to work well on own and part of a team.
Ability to self-motivate.
RoleOther
Industry TypeInsurance
Functional AreaOther
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
PG :Other Post Graduate
Key Skills
Associate Consultant Technical Accounting"|[]|Associate Consultant - Technical Accounting|Not Disclosed
7||Less than 10|1|Post Graduation Not Required|14 days ago|Any Graduate|11 - 15 years|"Job description
They are looking for an exceptional candidate to join the team as a Partner Technical Director. This role will focus on helping to build a thriving OCI partner community within a particular geography by enabling the partner to leverage skills, assets and solutions within the company and bring them to market in their own products and services. They recognize partners have the breadth of customer relationships, industry knowledge and reach but often lack clarity on the company s cloud strategy and solutions and how they are differentiated. This role aims to solve this problem through long term trusted partnerships.
Key focus areas are:
Help partners develop joint services and solutions that leverage OCI technical capabilities and services like the company Lift Services in their own service portfolio
Support the partner on key opportunities involving OCI where technical issues are raised that need clarification/resolution
Improve partner productivity through sharing of best practice and tools for use on OCI
Position OCI key differentiators and market messages to the partner
Deliver successful Partner Engagements leading to increased consumption
Collaborate with the cloud architects in the partner to define the scope and deliverables of their solutions and support their GTM activities as part of a virtual team
Support partner in responding to RFP/RFI or other customer requests presenting directly to the customer on occasions where required.
Leverage reference architectures and associated assets within Cloud Engineering to help partners deliver consistent and better time to market.
Be the partner advocate internally to make sure that the whole of the company is providing the necessary support to their business.
Transfer skills to the partner to ensure they become more confident and self-reliant on their deployment of OCI solutions.
Thought Leadership and Evangelism
Keep a close eye on emerging technical trends and new OCI services that capitalize on them so you can position them to partners who may wish to be early adopters.
Have a deep understanding of the competitors equivalent cloud offerings and OCI competitive differentiators
Speak at industry events and seminars
Cross-collaboration and Stakeholder Engagement
Work closely and collaboratively and build dynamic teams to service partner requests.
Collaborate across the ecosystem of Consulting, Customer Support and the company partners to scale the engagement model
Identify and request assets (white papers, blogs, slack support, reference architectures, and software migration components) to help partners gain relevant experience in deploying their domain solutions on OCI.
Governance Reporting
Comply with all requirements to report on new partner recruitment, consumption, partner opportunities as required.
Understand and use all relevant systems that support partner business.
Complete all relevant certifications and other mandatory enablement
This role reports to the Senior Director, Partner and Customer Experience, JAPAC. This role is based in India.
  RoleCEO/MD/Director
Industry TypeRecruitment / Staffing
Functional AreaTop Management
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Stakeholder EngagementConsultingCloudDirectorCustomer supportCustomer experienceRFPTechnical DirectorRecruitment"|['Consulting', 'Cloud', 'Customer support', 'Customer experience', 'RFP', 'Recruitment']|Partner Technical Director,Pan India|Not Disclosed
8||15|1|Post Graduation Not Required|14 days ago|Any Graduate|11 - 15 years|"Job description
Define the technology architecture for analytics: Own the reference architecture and roadmap for data warehousing, analytics, and data science. Provide solution architecture and design expertise and set relevant standards. Continuously evaluate the suitability of their analytics technology environment \including tools, frameworks, and processes o satisfy their current and future business needs. Understand the technology landscape in the broader retail industry and propose advancements to their roadmap.
Deliver enterprise platforms and tools for analytics: Deliver the environments, platforms, and tools for development of their enterprise data platforms, to support the advanced analytics and data science teams, and used by analytics teams embedded in business units. Ensure uptime and performance meet business needs. Drive continuous improvement in cost and performance. Set standards for administrators and engineers.
Drive data governance for analytics: Define and operate their data governance processes and standards to ensure consistent, high quality data is available and agreed upon across the organization. Define clear system of record and data lineage, deliver data catalog and metadata management solutions. Define standards for development teams to follow to publish and reuse high quality data assets.
Provide solution architecture expertise for projects and analytics groups as needed, acting as a subject matter expert and ensuring alignment to overall architecture goals.
Collaborate across departments:\Leverage strong collaboration skills to partner with varied stakeholders within the organization, including the analytics and enterprise data warehouse teams, business stakeholders, security, infrastructure, and other teams. Act as an evangelist for architecture and data governance best practices within IT and the business.
RoleDatabase Architect/Designer
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Systems, EDP, MIS
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Solution architectureadvanced analyticsmetadatadata sciencedata governanceManager TechnologySubject Matter ExpertContinuous improvementData warehousingAnalytics"|['Solution architecture', 'advanced analytics', 'metadata', 'data science', 'data governance', 'Subject Matter Expert', 'Continuous improvement', 'Data warehousing', 'Analytics']|Director, Analytics Technology Architecture|Not Disclosed
9||Less than 10|1|Post Graduation Not Required|14 days ago|Any Graduate|11 - 15 years|"Job description
The Technology Talent Excellence (TTE) team is a newly formed center of excellence (COE) that will tightly align with and support the strategic talent objectives of the Technology organization. As their Technology organization continues to evolve, so must the functions that they offer to support their talent and the associated strategy. The Director Technology Talent Excellence India will be instrumental in how they look to transform their workforce and meet their growing needs in the India market powered by the best talent.
Their aspiration is to be the best, most inclusive and diverse place to work in Technology, bar none. Their People Strategy is to have the best talent, in the right locations, and an optimized global cost structure.
The TTE India Director will support and enable their India partnerships, including with the Technology Council India by:
Leading the India execution of global Strategies by providing the India perspective view and working tightly with global counterparts for various workstreams.
Partner with multiple stakeholders locally and globally
Drive India campus recruitment strategy campus programs and events at market level
Support New Hire Orientation and engagement program
Lead Right to Hire and Contract to Hire programs for the enterprise.
RoleCEO/MD/Director
Industry TypeRecruitment / Staffing
Functional AreaTop Management
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Manager Program ManagementCampus recruitmentManager TechnologyDirectorDirector TechnologyCost"|['Campus recruitment', 'Cost']|Director Program Management - Technology Talent Excellence|Not Disclosed
