|Doctorate :|Job Applicants:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Openings:
0|Doctorate Not Required|43|Any Postgraduate|30+ days ago|Any Graduate|3 - 8 years|"Job description
At least 3 years hands on experience working with an Agile data engineering team working on big data pipelines using Azure in a commercial environment.
Dealing with senior stakeholders/leadership
Understanding of Azure data security and encryption best practices. [ADFS/ACLs]

Data Bricks –experience writing in and using data bricks Using Python to transform, manipulate data.
– give example

Data Factory - experience using data factory in an enterprise solution to build data pipelines.
Experience calling rest APIs.
– give example

Synapse/data warehouse - experience using synapse/data warehouse to present data securely and to build & manage data models.
– give example

Microsoft SQL server – We’d expect the candidate to have come from a SQL/Data background and progressed into Azure
– give example

PowerBI – Experience with this is preferred

Additionally
-Experience using GIT as a source control system
-Understanding of DevOps concepts and application
-Understanding of Azure Cloud costs/management and running platforms efficiently
RoleDatabase Architect/Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
AzureData EngineeringGITExpectBig DataData SecuritySQL ServerData WarehousingControl SystemPython"|['Azure', 'GIT', 'Expect', 'Big Data', 'Data Security', 'SQL Server', 'Data Warehousing', 'Control System', 'Python']|Azure Data Engineer / Sr. Azure Data Engineer|Not Disclosed|
1|Doctorate Not Required|140|Any Postgraduate|30+ days ago|B.Sc in Computers, B.Tech/B.E. in Computers, BCA in Computers|4 - 9 years|"Job description
We are hiring for a Senior DevOps Engineer position for a US based MNC for their development center in Pune.

Reports To: DevOps Manager

Job Purpose:

The Senior DevOps Engineer plays a critical piece on the company Software Development Lifecycle. This role has direct interaction with Solution Architects, Software Engineers, System Administrators and Quality Assurance Engineers, working together to research, design and implement new technologies that support both our system platform, and as-well tools that support the development of it. This role has a critical participation on the success of different technologies proofs of concept.

Essential Job Responsibilities:

- Provide comprehensive, expertise, collaboration and technical support to development and quality assurance teams.

- Provide comprehensive, expertise, collaboration and technical support to system administrators, including hands-on efforts and ensuring that proposed technology implementation are viable.

- Provide expertise, collaboration and hands-on technical support to system administrators to focus on automation, configuration management and avoidance of manual intervention on all necessary configurations.

- Work closely with architecture team to provide input system administration topics for a proposed solution.

- Work closely with software engineering and system administrators to ensure successful rollout of the solution.

- Support Solutions Architects to carry out performance analysis of proposed solutions against difficult-to-achieve performance requirements.

- Support transition of new solutions from project implementation closure to technical operations maintenance.

- Effectively communicate design concepts to both technical and non-technical stakeholders.

- Conduct evaluation of new technology platforms and components.

Years- Experience:

Compulsory Requirement:

- 4+ years as a system administrator(Linux/Windows) or developer

- 1+ years working with Kubernetes or Openshift platforms

- 3+ years working or being involved in - Open Source- software technologies.

- 1+ years working with configuration management systems and tools such as Ansible, Puppet, Cheff or equivalent

Preferred

- 2+ years working on systems related to healthcare solutions.

- 1+ years working with Real Time Processing technologies

- 1+ years working with Openstack platforms

Knowledge, Skills and Abilities:

Required

- Proven experience in Linux Operating System usage and administration

- Experience in Windows Operating System usage and administration

- Experience in Application Server technologies such as Apache Tomcat, Oracle Application Server or others

- Experience in Web Application Server technologies such as Apache Web Server, NGINx or HA Proxy

- Experience working with virtualization technologies (VMWare/KVM/Others)

- Experience working with containers technologies (Docker)

- Knowledge in Service-Oriented Architecture solutions.

- Experience with DevOps methods and tools, such as agile/scrum, continuous integration, automated configuration management, test driven development, data center and cloud automation.

- Strong attention to detail including precise and effective customer communications and proven ability to manage multiple, competing priorities simultaneously.

- Determined to succeed.

- Enthusiastic problem solver.

- Approachable, open and consultative.

- Diplomatic but firm.

- Mindset focused on automation, avoiding manual intervention during configurations.

Preferred

- Experience on Object Oriented Analysis and Design leveraging UML notation.

- Expertise in data modeling and database design.

- Exposure to Enterprise Architecture Methodology frameworks (TOGAF, Zachman, etc.)

- Proven knowledge and experience in using and applying API, SOAP, WSDL, JSON and XML based solutions

Qualifications

Education:

Required

Bachelors or Technical Degree Required (computer science or information systems) or other industry-related experience.

Preferred None

Licenses/ Certifications:

Required None

Preferred Certifications in System Administration, Continuous Integration, Security or DevOps related concepts and tools

Please also mention following details

Name:

Total Experience:

Relevant Experience:

Current CTC :

Expected CTC:

Notice Period : (Can you join us in 15-20 days)

Current Company :

Tech Stack worked on:

Email Id :

Contact No :

Location :

Current Designation:

GitHub Link:

Pls Mention months/yrs of experience in the following:

Kubernetes

Linux/Windows Administration:
RoleTechnical Support Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :B.Sc in Computers, B.Tech/B.E. in Computers, BCA in Computers
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
DevOpsOpen SourceLinuxDockerEnterprise ArchitectOpenShiftOOADAnsibleSystem AdministrationOpenStackKubernetes"|['DevOps', 'Open Source', 'Linux', 'Docker', 'Enterprise Architect', 'OpenShift', 'OOAD', 'Ansible', 'System Administration', 'OpenStack']|Senior DevOps Engineer - Kubernetes/Docker|Not Disclosed|
2|Doctorate Not Required|243|Any Postgraduate|30+ days ago|B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Computers|4 - 8 years|"Job description
- Basic Hands-on knowledge on SAP R/3 and FIORI Screens as well as general tools specific to SAP like BCP, JIRA, GTP.

- Must have one of the SAP module knowledge like Transportation Management, CRM, Insurance, Retail, SD, MM etc.

- Excellent Communication Skills

- Handle and resolve customer escalations effectively

- Effectively Manage expectations of conflicting stakeholders

- 4+ years of hands-on test execution experience as Key responsibilities

General:

- Understand customer requirements & create test cases based on it

- Peer Review for test cases

- Test data creation in test systems

- Good Experience with working in functional/Automation/performance testing teams

- Provide test effort estimation to Quality Manager

- Planning & Executing as per the defined Test Strategy

- Strong writing, mentoring, decision making, communication, and meeting facilitation skills

- Able to present demos to customers

- Good knowledge of automation tools like eCATT/Selenium/UFT/TOSCA, etc. is Preferred""
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - ERP, CRM
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Computers
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
SAP FioriPerformance TestingSAP TestingSAP SDSAP MMSAP CRMAutomation TestingSAP RetailFunctional TestingTestingSAP R/3"|['SAP Fiori', 'Performance Testing', 'SAP Testing', 'SAP SD', 'SAP MM', 'SAP CRM', 'Automation Testing', 'SAP Retail', 'Functional Testing', 'Testing']|Senior SAP Test Engineer - Automation/Functional Testing|Not Disclosed|
3|Doctorate Not Required|36|MS/M.Sc(Science) in Computers|30+ days ago|B.Sc in Computers|4 - 7 years|"Job description
Job Description:

We are looking for optimistic and collaborative Sr. Android Developers to join our mobile team. Ideal candidates should have a minimum of 4 years of Android development experience, passionate to build and ship beautiful user-experience.

Expectations include :

- Writing efficient android code in Java/Kotlin following MVVM design pattern

- Tracing and profiling android java code

- Use Android architecture components

- Familiarity with popular android libraries/methods like OkHTTP, Retrofit,Dagger etc.

- Familiarity with latest android platform changes.

- Strong coding abilities and experience with Java and Android SDK

Responsibilities :

- Work closely with our product and design teams to customize app

- Efficiently identify bottlenecks and fix bugs

- Help maintain code quality, organization

- Prototype new and redesign existing features

Minimum Qualifications :

- B.S. or M.S. Computer Science or 4+ years of software development experience.

- Experience of building Android applications in Java using Android SDK

- Strong understanding of object-oriented software development

- Understanding of large and complex code bases, including API design techniques to help keep them clean and maintainable.

- Programming experience in Java and related frameworks

- Knowledge of multithreading and memory management specific to mobile devices and caching mechanisms

- Good knowledge of RDBMS is a great plus
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Mobile
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Sc in Computers
PG :MS/M.Sc(Science) in Computers
Doctorate :Doctorate Not Required
Key Skills
JavaMVVMMobile App DesigningSDKAndroidKotlin"|['Java', 'MVVM', 'SDK', 'Android']|Senior Android Engineer - Mobile App Designing|Not Disclosed|
4|Doctorate Not Required|320|Any Postgraduate|30+ days ago|B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers|4 - 8 years|"Job description
Overview :
- Neo-Load is must to have skill.

- Has experience in planning and executing the performance testing for complex programs andor big projects

- Expert in performance Testing, test scripting with Neotys, Neoload, JMeter testing tools (Mandatory)

- Expert in designing and building load tests

- Expert in analyzing test results, identifying bottlenecks at application and infrastructure level

- Expert in understanding test requirements, providing test estimates and reviewing test deliverables test results and producing test reports.

- Has experience of conducting performance testing for e-Commerce projects using platforms like IBM WCS, Drupal, ATG Sterling etc.

- Must have DYNATRACE Monitoring experience

- Continuous Performance testing with CI CD is preferred.

Additional Information :

Notice Period : Strictly Immediate to less thanup to 30 days.
RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
Performance TestingNeoload TestingSoftware Quality AssuranceDynaTraceJMeterLoad TestingTesting"|['Performance Testing', 'Software Quality Assurance', 'DynaTrace', 'JMeter', 'Load Testing', 'Testing']|Performance Test Engineer - Neoload/JMeter|Not Disclosed|
5|Doctorate Not Required|18|Any Postgraduate|30+ days ago|B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers|7 - 12 years|"Job description
ROLE SUMMARY :
AWS data engineering services Data lake Python SQL, 7+ years person who is an individual contributor.

Must Haves Experiences :

- AWS Cloud.

- Cloud Services like Lambda, EMR Etc.

- Good understanding of Py Spark, either of them would work.

- We are looking for candidates having exp with the Data side, not the Infrasture side. Data Pipeline, Data ignition.

Data Engineer Roles and Responsibilities :

- Data engineers are expected to perform the following duties.

- Work on Data Architecture

- They use a systematic approach to plan, create, and maintain data architectures while also keeping it aligned with business requirements.

- Collect Data

- Before initiating any work on the database, they have to obtain data from the right sources. After formulating a set of dataset processes, data engineers store optimized data.

- Conduct Research

- Data engineers conduct research in the industry to address any issues that can arise while tackling a business problem.

- Improve Skills

- Data engineers don't rely on theoretical database concepts alone.
- They must have the knowledge and prowess to work on any development environment regardless of their programming language.
- Similarly, they must keep themselves up-to-date with machine learning and its algorithms like the random forest, decision tree, k-means, and others.
RoleDatabase Architect/Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
NoSQL Data ManagementCloud ServicesData PipelineMySQLData Architect PySparkAWSPythonSQL"|['NoSQL', 'MySQL', 'Data Architect', 'AWS', 'Python', 'SQL']|AWS Data Engineer - Python/SQL|Not Disclosed|
6|Doctorate Not Required|52|MBA/PGDM in Any Specialization|30+ days ago|B.Tech/B.E. in Any Specialization|4 - 8 years|"Job description
Job Description :
- BS/MS degree in Computer Science, Engineering or a related subject

- 4-8 years of experience working in the Software Industry

- Working experience in MySQL or Postgres

- Experience in working on Python scripts or bash/shell scripting

- Ability to work independently or within a team environment

- Strong analytical and problem solving skills.

- Implement and improve DevOps and Engineering practices for all services.

- Strong Computer Science fundamentals in Object-Oriented Design and Data Structures

- Implement and improve DevOps and Engineering practices for all micro services.

- Strong knowledge of Linux operating systems and environment and fluent with linux terminal commands.

- Strong Knowledge of AWS Tools and services.

- Experience using Cloud formation/Terraform for deployments and infrastructure setup

- Strong knowledge of Networking, Load balancers, DNS, and TCP/IP and AWS Lambda.

- Experience in handling production outages and root cause analysis.

- Experience creating tools for infrastructure (IaaS and PaaS) management and automation.

- Experienced with DevOps engineering practices, comfortable with diverse technical problem sets across the tech stack.

- Experience in CI/CD tool sets (e.g. Jenkins) and Automate deployments(CI&CD) & other repetitive tasks using Python scripts or tools like Jenkins.

- Project management tools like Jira.

Good to Have :

- Setting up security using AWS WAF, DNS Blocking etc.

- Setting up vulnerability analysis for applications & infrastructure.

- Managed a team of devops and setup best
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :MBA/PGDM in Any Specialization
Doctorate :Doctorate Not Required
Key Skills
DevOpsCI/CD ToolsTerraformBash ScriptingShell ScriptingPostgreSQLOOADCloudFormationMySQLData Structure"|['DevOps', 'Bash Scripting', 'Shell Scripting', 'PostgreSQL', 'OOAD', 'MySQL', 'Data Structure']|DevOps Engineer - IIT/NIT/DCE/BIT|Not Disclosed|
7|Doctorate Not Required|785|MS/M.Sc(Science) in Computers, M.Tech in Computers, MCA in Computers|30+ days ago|B.Tech/B.E. in Computers, BCA in Computers, B.Sc in Computers|1 - 4 years|"Job description
Role: Software Developer Automation (SDET)

Location: Bangalore

Notice Period: 30 days max

Domain: Product company

You- re Awesome At -

- Designing and writing test automation scripts

- Using test automation frameworks

- Identifying software application weaknesses and target areas.

- Sketching out ideas for automated software test procedures.

- Reviewing software bug reports and highlighting problem areas.

- Writing automation scripts and implementing software applications.

You- ll Be Improving & Responsible For -

- Investigating problems in software as a result of testing

- Working with QA analysts and software developers to find solutions

- Meeting with the software design team to discuss verification protocols.

- Designing and installing software databases.

- Troubleshooting automation software and finalizing system procedures.

- Identifying quality issues and creating test reports.

- Collaborating with the design team to solve application faults

Your Experience Across The Years in the Roles You- ve Played -

- 2-4 years of experience in Automating app and software testing

- Good understanding of version control principles, preferably using git.

Desired Skills -

- Programming languages, such as Python/Java/Javascript.

- Mathematical aptitude and strong problem-solving skills

- Excellent organizational and time management skills

- Accuracy and attention to detail

- An understanding of the latest trends and their role in a commercial environment

- Self-development skills to keep up to date with fast-changing trends

Your Academic Qualifications -

- Bachelors / Masters in Computer Science or allied fields
RoleSoftware Developer
Industry TypeAutomobile
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers, BCA in Computers, B.Sc in Computers
PG :MS/M.Sc(Science) in Computers, M.Tech in Computers, MCA in Computers
Doctorate :Doctorate Not Required
Key Skills
JavaSDETJavaScriptAutomation TestingPythonTesting"|['Java', 'SDET', 'JavaScript', 'Automation Testing', 'Python', 'Testing']|Software Development Engineer - Test - Automation Testing|Not Disclosed|
8||31||30+ days ago|B.Tech/B.E. in Any Specialization|2 - 6 years|"Job description
Role Brief:
If you are an extraordinary developer and who loves to push the boundaries to solve complex business problems using creative solutions, then we wish to talk with you. As an Analytics Technology Engineer, you will work on the Technology team that helps deliver our Data Engineering offerings at large scale to our Fortune clients worldwide. The role is responsible for innovating, building and maintaining technology services.
Responsibilities:
Be an integral part of large scale client business development and delivery engagements
Develop the software and systems needed for end-to-end execution on large projects
Work across all phases of SDLC, and use Software Engineering principles to build scaled solutions
Build the knowledge base required to deliver increasingly complex technology projects
Qualifications & Experience
A bachelors degree in Computer Science or related field with 2-6 years of technology experience
Strong experience in System Integration, Application Development or Data-Warehouse projects, across technologies used in the enterprise space
Software development experience using:
Object-oriented languages (e.g. Python, PySpark,) and frameworks
Database programming using any flavours of SQL
Expertise in relational and dimensional modelling, including big data technologies
Exposure across all the SDLC process, including testing and deployment
Expertise in Microsoft Azure is mandatory including components like Azure Data Factory, Azure Data Lake Storage, Azure SQL, Azure DataBricks, HD Insights, ML Service etc.
Good knowledge of Python and Spark are required
Good understanding of how to enable analytics using cloud technology and ML Ops
Experience in Azure Infrastructure and Azure Dev Ops will be a strong plus
Proven track record in keeping existing technical skills and developing new ones, so that you can make strong contributions to deep architecture discussions around systems and applications in the cloud (Azure)
Characteristics of a forward thinker and self-starter
Ability to work with a global team of consulting professionals across multiple projects
Knack for helping an organization to understand application architectures and integration approaches, to architect advanced cloud-based solutions, and to help launch the build-out of those systems
Passion for educating, training, designing, and building end-to-end systems for a diverse and challenging set of customers to success
Education Qualification:B.E / B.Tech, BCA, MCA equivalent
Location: Bengaluru / Mumbai / Gurgaon
RoleIT/Technical Content Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
PysparkAzureCloudSDLCAzure DevopsSQLPython"|['Azure', 'Cloud', 'SDLC', 'SQL', 'Python']|Urgent Opening For Azure Engineer with Fractal Analytics|Not Disclosed|
9||27|MCA in Computers, M.Tech in Computers|30+ days ago|BCA in Computers, B.Tech/B.E. in Computers|5 - 10 years|"Job description
Greetings!
We are looking for a technically strong and experienced individual who is self-motivated so as to perform Technical consultant role for Top MNC Company. Candidates involvement will play an important role to ensure solutions and approaches are technically & architecturally correct & implemented with best of the tools available in market.
Job Description:
Configure, Implement and manage the security measures for the protection of networks and information
Responsible for Designing and Implementation and management of Security Solutions as per customer requirements.
Responsible for the installation, layout, and maintenance of all network security components for clients.
Run UAT with customer post implementation activity and provide RCA of failed attempts.
Configure and troubleshoot security infrastructure devices
Is able to handle complex and critical security related incidents, should be able to drive technical escalation process and management escalation process.
Technical Skills:
NGFW : Palo Alto, Fortinet, Juniper, CheckPoint, CISCO etc.
Proxy: Zscalaer, Blue Coat
AAA: CISCO ISE, ForeScout, NAC.
ATPs: Fire Eye, Symantec
VPN: SSL, IKE v1 & v2
Thorough understanding of the latest security principles, techniques, and protocols like, Adavance persistent threats, Cloud Security (AWS, Azure), Sandboxing, VA/PT, PKI etc.
Problem solving skills and ability to work under pressure
Excellent written and verbal Communication Skills.
Hands on experience in security systems, including NGFW, IPS/IDS, Proxy, AAA, log management, content filtering, DDoS etc.
Experience in implementation and managementof complex and critical security controls.
Security professional should have 5-9 years of experience in perimeter security domain.
Certifications: Combination of any 2 mentioned below ( must)
Checkpoint – CCSA, CCSE, CCSM
Palo Alto – PCNSA, PNCSE, PCCSE
Fortigate – NSE level 4, NSE level 7
Cisco – If the candidate has only Cisco skills then CCIE security lab certified is mandatory, if the candidate has experience in multiple firewalls then CCNP Security is mandatory.
Zscaler – ZCCP
F5 LB – Certified administrator, Certified technical specialist
Cloud security certifications (highly desirable )
Location : Gurugram/Bangalore/Kolkata/Mumbai
Qualification : B.E/ B.tech/ M.tech/ MCA
If interested please send your updated resume to my mail ID and also furnish the following details.
Thanks & regards
S K Rahila | Associate
Orcapod Consulting Services Private Limited
sk.rahila@orcapodservices.com

RoleSystem Security
Industry TypeHardware & Networking
Functional AreaIT Software - Network Administration, Security
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :BCA in Computers, B.Tech/B.E. in Computers
PG :MCA in Computers, M.Tech in Computers
Key Skills
Ccnp SecurityCcsaCheckpointNetworkingJuniperNetwork SecurityCcie SecurityCcseIPSF5"|['Ccnp Security', 'Ccsa', 'Checkpoint', 'Networking', 'Juniper', 'Network Security', 'Ccie Security', 'Ccse', 'IPS', 'F5']|Urgent Opening For Design And Engineer – Security Professional|₹ 10,00,000 - 16,00,000 P.A.|2
