|Job Applicants:|Posted:|UG :|experience|job_desc|key_skills|position|salary|Doctorate :|Openings:|PG :
0|458|27 days ago|B.Tech/B.E. in Civil, Diploma in Civil|5 - 10 years|"Job description
Responsible for the preparation of structural design drawings, 3D models, Fabrication drawings and prepare material take offs (MTO), Ensure quality, schedule and budget requirements are on target.

Responsibilities

Prepare civil structural drawings that involve piling layouts and schedules, structural concrete drawings with rebar details, structural steel drawings, building architectural drawings and Fabrication drawings based on engineering instructions, government and regulatory codes.
Develop 3D models and extract 2D drawings from 3D models.
Perform revisions to engineering drawings, as marked up made by the Checkers and Leads. Verify to ensure drawing modifications are accurately and correctly carried out.
Plan, organize and coordinate part of a project.
Work closely with Piping and Electrical department to coordinate the design development continuously.
Check work of and assist in the training of less experienced drafting personnel.
Reporting progress of work assignment to immediate supervisor.
Responsible for checking own work and ensuring all design standards and conventions are adhered to prior to submitting it to the checker.
Expert knowledge of 3D software.
Understands the project schedule
Communicate with internal peers and project team and may be required to answer questions regarding deliverables.
Accountable, committed and dependable when it comes to completing projects on time; seek out assistance as required.
Maintain and archive project documents as required or directed by the Civil Lead.
Continue to build a broad knowledge base as well as acquiring a base level of civil structural drafting competency.
Develop a clear understanding of the proper filing procedures of drawings and models as required by National Business Line, project or client.
Develop familiarity with WSP standard drawings, specifications, general practices, procedures, Client specific standards.
Expected to work with all levels of the organization in a cohesive manner.

Key Competencies / Skills
Mandatory Skills

Must be a self-starter and proficient in the use of AutoPlant- ProStructures, Autocad CADWORX 2017/18, PDMS, SP3D or any outher eqivalent 3D modelling softwares
Excellent skills in 3D modelling of structural steel, concrete, piling
Strong organization, interpersonal and communication skills
Excellent organizational and time-management skills; ability to meet deadlines.
Proven ability to multi-task and efficiently respond to changing priorities.
Accepts coaching, knowledge and support from more experienced staff.
Measure of success
Adhere to Health and Safety commitments on a project as well as corporate HSE guidelines
Meeting targets and deadlines
Adhere to the defined Corporate objectives.
Seek out assistance and address questions to company leaders and experts
Promote a positive environment rooted in communication, ownership and camaraderie
Maintain an open-mind when receiving constructive feedback and apply recommendations towards self-improvement.
Build and maintain WSPs brand/reputation both internally and externally.

Qualifications

Polytechnic diploma in Civil Engineering or Engineering design and drafting Technology diploma from post-secondary institution.
Experience should 4+ years.
Superior knowledge of applicable drafting/modelling software.
Provide technical guidance to employees and colleagues
Carry out work independently without direct supervision.
Stronger computer skills, including experience with CAD programs.
Superior knowledge of applicable standards and relevant technical codes.
Proficient in MS Office

OUR GUIDING PRINCIPLES
We value our people and our reputation.
We are locally dedicated with international scale.
We are future-focused and challenge the status quo.
We foster collaboration in everything we do.
We have an empowering culture and hold ourselves accountable.
Note: - As part of your application for employment, you will be submitting personal data to WSP by applying to this job you share your consent that you have understood what we will do with the data you submit, if you do not wish to share consent, please do not apply.
RoleDesign Engineer
Industry TypeEngineering & Construction
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryEngineering Design
Education
UG :B.Tech/B.E. in Civil, Diploma in Civil
Key Skills
DraftingOilStructural DesignCadworxGasTechnician ActivitiesSmart Plant 3DAutoPlant"|['Drafting', 'Oil', 'Structural Design', 'Cadworx', 'Gas', 'Technician Activities', 'Smart Plant 3D', 'AutoPlant']|CAD Technician - Structures @ WSP _ Bangalore|Not Disclosed|||
1|69|27 days ago|Graduation Not Required, Any Graduate|1 - 5 years|"Job description
Web developer: Job description
Must have - 
Codeigniter, WordPress, Javascript, jQuery, MySql.
Good to have - 
Shopify, Wix, Squarespace, Joomla.
Experience - 1 to 5 years
Benefits -Incentives


My Taskers Website Designing and Development Team deals with Projects, Campaigns and Processes related to Website Development, Designing Services, Content Development, Digital Marketing, SEO, SEM, SMO, Video Marketing, Content Marketing, etc.
The position of a Lead Web Developer with My Tasker entails -
a. Co-ordination with the Account Manager and/or with clients to understand clients requirement in terms of the outcome of the Project.
b. As per the understanding of the project, quotation of appropriate days and /or hours to complete the project or tasks.
c. Completion of work within the given project schedule/deadline.
d. Appropriate communication with other team members to achieve the progress in the project.
e. Sending daily/weekly/monthly reports to the Account manager about the projects of clients.
Knowledge, Experience, Skills and Education required for the Job Role
Knowledge
a. Excellent knowledge of HTML, CSS, PHP, MYSQL, JQUERY, AJAX, DREAMWEAVER
b. Sound knowledge of various CMS like Wordpress, Magento and Joomla.
c. Knowledge of the latest features and updates in the world of Web Development.
d. Proper Understanding of Online Business Models, the presence of business in the internet world.
e. Knowledge of CRM, Smarty, Cake PHP will be preferred.
f. Knowledge in ASP.NET will be considered as added advantage.
Experience: (Freshers are welcome, Experience will be added advantage)
a. Experience in working with Global Clients.
b. Experience in working with a team of Web Developers and Web Designers.
c. Experience in handling Projects, Campaigns and Processes related to Web Development.
d. Experienced in working with Wordpress, Mysql, SQL, Jquery, Ajax, HTML, PHP, Dreamweaver, Magento, Joomla, Shopify, Sugar CRM etc.
Skills:
a. Excellent written and verbal communication in English.
b. Creative developing skills.

Here are the additional requirements for a Web Developer.

Core PHP, Codeigniter, Javascript, Web Services, Wordpress, Shopify, Wix.
Should be proficient in Linux command-line interface.
Hands-on experience with custom Wordpress themes and plugin development.
Should be able to handle complex Php script and database queries using MySQL and PostgreSQL.
Should have sound knowledge on Payment Gateway Integrations (PayPal, Stripe, PayU, Razorpay etc).
Should be self-motivated and can work with fewer guidelines.

Graduate in any discipline with the diploma of minimum 1 year in Web Development, B.Tech, BCA, BSc in IT, MCA, MSc in IT.
Perks and Benefits 
Travelling Allowances, Attendance Incentives, Performance Incentive

Apply via- https://mytasker.com/career.php
or email at - hr@mytasker.com
RoleBusiness/EDP Analyst
Industry TypeAnalytics / KPO / Research
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryOperations
Education
UG :Graduation Not Required, Any Graduate
PG :Any Postgraduate, Post Graduation Not Required
Doctorate :Doctorate Not Required, Any Doctorate
Key Skills
wordpressCore PHPCodeigniter
PaypalPayment GatewaysMySQLWIXJavascriptShopify
Skills highlighted with ‘‘ are preferred keyskills"|['wordpress', 'Core PHP', 'Codeigniter', 'Paypal', 'Payment Gateways', 'MySQL', 'WIX', 'Javascript', 'Shopify']|PHP Web Developer|Not Disclosed|Doctorate Not Required, Any Doctorate|1|Any Postgraduate, Post Graduation Not Required
2|147|27 days ago|B.Tech/B.E. in Any Specialization|6 - 8 years|"Job description
Hands-on experience in developing web applications using J2EE/ Spring/ Spring Boot/ Spring Cloud Good understanding of Cloud Technologies
- GCP/Azure/AWS Excellent knowledge and hands on experience of Unit Testing Frameworks like Junit/Jmock Good understanding of Devops
:- Build Tools experience such as Maven/Gradle,CI/CD tools like Jenkins Excellent understanding of Source Control Tools such as Git Has worked with multiple application / web servers such as Tomcat, JBoss, Websphere, etc,
Has good handle on design patterns, should have worked with BDD / TDD approaches to design and develop applications Should be able to provide solutions to develop and maintain Cloud Native applications Excellent knowledge and hands on experience developing SQLs while working with different databases like Oracle, MySQL, etc.
Should be able to bring in Quality metrics to introduce/enhance coverage for existing and new systems Good understanding of the agile software development life cycle. Good communication, presentation and interpersonal skills to interact effectively with client teams Mentor team members to provide guidance in day-to-day deliverables, keeping deliverable quality in check. Monitor team's task progress, assist wherever needed to keep the team on track.


RoleDatabase Architect/Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
AzureSpring BootJ2Ee
JavaMavenTomcatWebsphereJUnitJBossGradleSpring Cloud
Skills highlighted with ‘‘ are preferred keyskills"|['Azure', 'Spring Boot', 'J2Ee', 'Java', 'Maven', 'Tomcat', 'Websphere', 'JUnit', 'JBoss', 'Gradle']|Java Tech Lead Backend|₹ 13,00,000 - 16,00,000 P.A.|||
3|309|27 days ago|Any Graduate|2 - 3 years|"Job description
Hi

Hiring following position

Role : Selenium Tester
Location: Bangalore
Exp: 2.5yrs - 3yrs
Np : Short notice period only

Send resume to saimanohar@centraprise.com


RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
Selenium Testing"|['Selenium Testing']|Hiring Selenium Tester - Consider Short notice period|Not Disclosed|||
4|154|27 days ago|Any Graduate|4 - 6 years|"Job description
We are looking for API Testing with Agile /Jira
Work Location: Panindia- WFH
Experience: 4+ Years
:
Job Description :

• Strong knowledge of software QA methodologies and processes
• Hands on experience in Mobile application testing -Android and Web services Testing
• Experience working in an Agile/Scrum development process
• Hands on Experience in AWS,Docker and Kubernetes.
• Experience in Performance testing using Jmeter
• White-box and grey-box testing with exposure to various testing tools
• Automation experience with industry standard frameworks and tools like Selenium, etc.
• Solid knowledge of web technologies, databases, SQL, and any one scripting languages
• Excellent communication skills and ability to coordinate in a team environment to maintain effective team relationship

Responsibilities :

• Review requirements, user specifications and other project documentation to understand the application and perform automation feasibility analysis.
• Deploy, build and maintain test Environment.
• Design and Execute Automation test scripts to ensure business, technical requirements are met throughout the SDLC
• Conducts functional, integration, regression and end-to-end testing to ensure adequate coverage of requirements.
• Develop testing strategies that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability
• Review test strategies and see that all the various kinds of testing like unit, functional, performance, stress, acceptance etc. are getting covered. 
• Defining quality standards and metrics for the current project/product.
• Perform other related duties as needed

Desired Candidate profile :

• Min 5 to 7 years of industry experience in QA
• Hands on experience in Jenkins or any other tools
• Hands-on coding experience with automated testing frameworks such as Selenium, Junit, TestNG is preferred
• Exposure to scrum/agile practices required
• Test scripts automation with best practices and standards
• Experience and desire to work in a team having diverse / multiple stakeholder and Global delivery environment
• Should be self-motivated and Smart working
• Candidate should have excellent communication skills both oral and written

Primary Technical Skills : 
Web Service Testing, API Testing, Performance Testing, Mobile application Testing, JIRA and any 1 scripting Language


Secondary Technical Skills : Automation Testing (Jmeter, Selenium)

 About the Company :
Company Information
SmarTek21 provides data and Artificial Intelligent (AI) services and software that transform organizations into digital enterprises that can thrive in a data-driven world. It transforms companies into digital enterprises that use data and analytics as a primary driver of strategy, business value, and competitive advantage. We understand the key to digital transformations by integrating technologies from several disciplines into holistic solutions that offer: Product architecting and development; Digital transformation, Data strategy and management; Cloud enablement and migration; Advanced user engagement systems powered by advanced analytics, AI, and machine learning.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class.
For more information visit us at www.smartek21.com
If Interested , Kindly send your updated resume with below details:
Full Documented Name:
Total Experience:
API Testing :
Manual Testing:
Automation Testing :
Agile:
Jira:
Devops:
Available for weekend interview (Yes/no) :
Current Location:
Interested Location -
Current CTC:
Expected CTC:
Notice Period -
Contact. No:
Email Id:

Thanks & Regards,
Ponraj M
ponrajm@smartek21.com
www.smartek21.com

RoleRelease Manager
Industry TypeIT Services & Consulting
Functional AreaIT Software - QA & Testing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Any Doctorate
Key Skills
API TestingAgileAutomation TestingManual TestingJIRADevops"|['API Testing', 'Agile', 'Automation Testing', 'Manual Testing', 'JIRA', 'Devops']|API Testing with Agile and Jira WFH Pan India.|₹ 50,000 - 3,00,000 P.A.|Any Doctorate||Any Postgraduate
5|177|27 days ago|Any Graduate|3 - 6 years|"Job description
Greetings from Sapiens.
Hope you are doing great today!

Sapiens is hiring C++ Developer, please find below job description if interested please share below mention details for faster process

Desired Skills and Experience
3+ years of hands on design and development experience in C++, and contributes to build the large scale architecture system
- Well versed with object oriented methodologies
- Good knowledge of Design patterns, and Data Structures
- Hands on experience of Oracle/ PL SQL
- Proven experience in exploring new technologies to developing and delivering innovative solutions
- Good conceptual, analytical, mathematical skills
- Very good verbal and written communication skills
- Self-motivated, flexible and a team player
- Demonstrated experience with strong focus on quality and timely delivery
Nice to have
- Experience working with XML and ACORD
- Experience working with Oracle, DB2, MSSQL
- Knowledge in Insurance
- Experience with Agile development methodologies (specifically scrum)

Please share below details along with updated CV to Rumana.Mohib@sapiens.com.
Total Experience:
Relevant Experience:
Current CTC:
Expected CTC:
Notice Period:
Current Location?


RoleSoftware Developer
Industry TypeSoftware Product
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Any Doctorate
Key Skills
C++ DeveloperAlgorithmsData Structures
Design Patterns
Skills highlighted with ‘‘ are preferred keyskills"|['Algorithms', 'Data Structures', 'Design Patterns']|Excellent Opening For C++ Developer - Sapiens Technology - Bangalore|Not Disclosed|Any Doctorate||Any Postgraduate
6|74|27 days ago|Any Graduate|6 - 11 years|"Job description
Greetings from Winvest Technologies !!

We are hiring for D365 FO Finance Consultants

Responsibilities

Excellent written and verbal communication skills
Prepare the Gap Fit of the requirements with Justification
Solution Design based on the user stories/requirements
Preparation of FDD, FRD
Test case preparation and Executing the test cases
POC, System demos to the customers
Create training plans and training client teams for developed solution
Configuring the system to meet the business requirements
Align with the Technical team on the design discussion and contribute towards the right solution
Analyze field Mapping and prepare Data Migration Templates
Skills/Expertise
Strong proficiency across areas of Finance including GL, AP, AR, Fixed Assets, Project Accounting, Bank and related best practices.
At least 6 years of experience in Microsoft Dynamics AX 2012 or Dynamics 365 F&O
Should be able to articulate well, assess target audience needs and communicate properly
Experience in business analysis or functional consulting in multiple areas of ERP Business Processes, functional design, testing, UAT and support experience
Strong proficiency across areas of industry knowledge and best practices
Excellent Analytical and Communication skills
Experience working in an Agile project methodology
Exp : 6 to 15yrs
RoleERP Consultant
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :Any Graduate
Key Skills
FinanceUser StoriesBankingFRDUATProject AccountingMicrosoft Dynamics AXFunctional DesignFunctional ConsultancyBusiness Analysis"|['Finance', 'User Stories', 'Banking', 'FRD', 'UAT', 'Project Accounting', 'Microsoft Dynamics AX', 'Functional Consultancy', 'Business Analysis']|D365 FO finance consultant|Not Disclosed|||
7|256|27 days ago|B.Tech/B.E. in Any Specialization|4 - 7 years|"Job description
Job Description
Responsible for providing technical leadership in the creation, testing and delivery of Windows 10 Build and supporting Tools to meet HPE business needs

Role Summary
The candidate will understand the existing environment for creating Windows 10 Builds, Tools developed for supporting the deployments and support these Desktop tools.

Essential Skills/Qualifications
Experience in C# .Net and PowerShell scripting
Knowledge on Windows 10 settings
Knowledge on BIOS configurations
Disk encryption methods
Desirable skill on Windows 10 Build creation process

If you're interested please click on the below link and fill the required details -
https://forms.gle/Kdv2S1Nzoh9P6Uqr7
RoleSystem Analyst
Industry TypeSoftware Product
Functional AreaIT Software - eCommerce, Internet Technologies
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
C#PowershellC#.Net
BIOS configurations.NetTechnical LeadershipEncryptionWindows 10Disk encryption
Skills highlighted with ‘‘ are preferred keyskills"|['C#', 'Powershell', 'C#.Net', '.Net', 'Technical Leadership', 'Encryption', 'Windows 10']|Opening For Product Developer - C# .Net|Not Disclosed||1|
8|38|27 days ago|Any Graduate|5 - 10 years|"Job description
Hi and Welcome from PeopleOne Technology Pvt. Ltd., Perungudi, Chennai - a product development organization in the domain of Learning Management Organization.

We are hiring Instructional Designer with 5 to 10 years of experience and who have some exposure to Technical Writing also.

We are currently working from home till the pandemic is over/ suitable to return to office.

Roles and Responsibilities
Work with internal teams to obtain an in-depth understanding of the product and the documentation requirements.
Experience in writing product documentations like:
1. Requirement Document
2. User Guides
3. Job aids
4. Release Notes
5. Training Materials
Analyze existing and potential content, focusing on reuse and single sourcing opportunities.
Create and maintain the information architecture.
Produce high-quality documentation that meets applicable standards and is appropriate for its intended audience.
Write easy-to-understand user interface text, online help and developer guides.
Create tutorials to help end-users use a variety of applications.


Desired Candidate Profile
Proven working experience in content / technical writing of software documentation using content authoring tools like Articulate, Captivate, etc.
Strong working knowledge of writing blogs/articles
Ability to create videos and articulate images for better presentation.
Ability to deliver high quality documentation paying attention to details.
Ability to quickly grasp complex technical concepts and make them easily
Understandable in text and pictures.
Excellent written skills in English.
Basic familiarity with Agile

Perks and Benefits

As per industry standard.
RoleInstructional Designer
Industry TypeSoftware Product
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryQA/Testing/Documentation
Education
UG :Any Graduate
Key Skills
Instructional DesignLearning ManagementTechnical Writing"|['Instructional Design', 'Learning Management', 'Technical Writing']|Instructional Designer|Not Disclosed||1|
9|164|27 days ago|Any Graduate|3 - 5 years|"Job description
Greetings from Sapiens.
Hope you are doing great today!

Sapiens is hiring Java Developer, please find below job description if interested please share below mention details for faster process

Desired Skills and Experience
Education: BE / B.Tech / Equivalent with 3+ years of experience in Java development.
Experience working with relational database, such as MS-SQL and/or Oracle.
Sound understanding of Object-Oriented principles.
Experienced working with SPML, JavaScript, XML and JSON, Spring, Hibernate and web services architecture, such as SOAP and/or REST
Good verbal and written communication skills in English.
Experience working with a global company and global clients.
Good conceptual, analytical and mathematical skills.
Proven experience in exploring new technologies to developing and delivering innovative solutions
High learning capability and ability to perform under pressure.
Ability to work independently, to work well with others and to be a team player.
Demonstrated experience with strong focus on quality and timely delivery
Nice to have - Knowledge in Insurance
Nice to have - Experience with Agile development methodologies (specifically scrum)

Please share below details along with updated CV to Rumana.Mohib@sapiens.com.
Total Experience:
Relevant Experience:
Current CTC:
Expected CTC:
Notice Period:
Current Location?

RoleSoftware Developer
Industry TypeSoftware Product
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Any Doctorate
Key Skills
JavaHibernateSpring
Core JavaAngularSQL
Skills highlighted with ‘‘ are preferred keyskills"|['Java', 'Hibernate', 'Spring', 'Core Java', 'SQL']|Excellent Opening For Java Developer - Sapiens Technology - Bangalore|Not Disclosed|Any Doctorate||Any Postgraduate
