|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Doctorate :
0|59|1|Post Graduation Not Required|30+ days ago|Any Graduate|2 - 5 years|"Job description
  Technical Skills
Chartered Accountancy / CPA / CIMA / MBA / CFA / Post graduate qualification
Certifications such as CISA, FRM, CIA would be beneficial
At least 2-5 years of work experience
Good knowledge of COSO framework
Practical and theoretical knowledge of business risk and control frameworks specifically with regards to Insurance and Investments business.
Experience of risk based auditing and clearly understanding the relationship between IT risk and underlying business risk
Financial Services/ product knowledge, particularly within Insurance, Asset Management (e.g. Equities and Fixed Income) or Investment banking is desirable.
Prior audit experience in functional domains such as financial crime, anti-money laundering, investment management processes, compliance monitoring and program assurance.
Ability to work effectively across a large audit team, understanding the team s role in the overall strategy of the firm
Good knowledge of the principles of auditing and their application to the business within a risk based audit methodology.
Behavioural Skills
Strong organisational skills to take ownership of agreed targets to enable efficient completion of audit projects.
Ability to work and support team members.
An innovative mind-set and the ability to develop ideas which are implemented and have a positive impact.
Able to demonstrate integrity and team spirit by exhibiting ethical behaviour in executing the job responsibilities.
Motivate team members to deliver the objectives within timelines.
Strong written and verbal communication skills a must; strong interpersonal skills essential.
Must be able to multitask while managing both time and work load
Must be highly motivated with strong analytical skills, willing and able to learn new business and system processes quickly
Strong stakeholder management experience and ability to handle challenging discussions professionally.
RoleAudit Manager
Industry TypeBanking
Functional AreaAccounts, Finance, Tax, Company Secretary, Audit
Employment TypeFull Time, Permanent
Role CategoryFinance/Audit
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Manager Internal AuditAssuranceBusiness transformationFixed incomeActuarialCustomer serviceInvestment bankingAsset managementInformation technologyFinancial services"|['Assurance', 'Business transformation', 'Fixed income', 'Actuarial', 'Customer service', 'Investment banking', 'Asset management', 'Information technology', 'Financial services']|PPM041 - AM-Internal Audit|Not Disclosed|
1|39|1|Post Graduation Not Required|30+ days ago|B.Tech/B.E. in Computers|4 - 6 years|"Job description
Roles and Responsibility
Deliver high-quality virtual and in-person technical training in line with industry-recognized best practices on Java Full Stack.
Must have Industry experience on Full Stack Tech
Must have good knowledge and working experience in Git Hub and as well as deploying the Java Full stack application into AWS or Azure
Develop and retain an up-to-date knowledge of current working practices.
Design quality self-paced recorded training sessions on the above-mentioned topics for working professionals, and corporates.
Carry out course monitoring and evaluation collating participants training, assessment report at every fortnight.
Create high-quality training materials for the candidates
Mentor other instructors/team leaders/Subject Matter Experts in the content and course delivery techniques for assigned technical courses.
Maintain the quality and consistency of course content throughout a course s life cycle.
Skills Experience
Minimum 4 years of hands-on experience on Oracle SQL, PL/SQL, Core Java, J2EE Servlets, JSP, JDBC, Maven, Hibernate, Spring [ Core, MVC, ORM ], Spring Boot, Microservices, Webservices [ SOAP, REST ], Junit, Mongo DB, Git Hub, Migrating Java Full Stack application into AWS / Azure
Hands on Experience in Front End technologies HTML, CSS, JavaScript, Angular, React
Excellent verbal and written communication skills.
Excellent organizational and time-management abilities.
Ability to work with data and uncover insights into the consumer mindset
Experience in building and delivering educational resources, including designing virtualized network training lab environments, administrating LMS systems for reporting, and authoring exams and self-assessment surveys.
RoleSoftware Developer
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
HibernateCore JavaFront EndOracle SqlJspJavascriptSpring BootJ2EeTechnical Training"|['Hibernate', 'Core Java', 'Front End', 'Oracle Sql', 'Jsp', 'Javascript', 'Spring Boot', 'J2Ee', 'Technical Training']|Java Full Stack Developer|Not Disclosed|
2|130|1|Post Graduation Not Required|30+ days ago|B.Tech/B.E. in Computers|5 - 10 years|"Job description
.
Roles and Responsibility
Actively engage with internal business teams to understand their challenges and deliver robust, data driven solutions.
Work alongside global counterparts to solve data-intensive problems using standard analytical frameworks and tools.
Be encouraged and expected to innovate and be creative in your data analysis, problem solving and presentation of solutions.
Network and collaborate with a broad range of internal business units to define and deliver joint solutions.
Work alongside customers to leverage cutting edge technology (machine learning, streaming analytics and real big data) to creatively solve problems and disrupt existing business models.
In this role, we are looking for:
A problem-solving mindset with the ability to understand business challenges and how to apply your analytics expertise to solve them.
The unique person who can present complex mathematical solutions in a simple manner that most will understand, including customers.
An individual excited by innovation and new technology and eager to finds ways to employ these innovations in practice.
A team mentality, empowered by the ability to work with a diverse set of individuals.
Basic Qualifications
A Bachelor s degree in Data Science, Math, Statistics, Computer Science or related field with an emphasis on analytics.
5+ Years professional experience in a data scientist/analyst role or similar.
Proficiency in your statistics / analytics / visualization tool of choice, but preferably in the Microsoft Azure Suite, including Azure ML Studio and PowerBI as well as R, Python, SQL.
Preferred Qualifications
Excellent communication, organizational transformation, and leadership skills
Demonstrated excellence in Data Science, Business Analytics and Engineering
RoleSoftware Developer
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
Computer scienceData analysisAnalyticalApplication programmingBusiness analyticsMachine learningPetrochemicalSQLPythonRecruitment"|['Computer science', 'Data analysis', 'Analytical', 'Application programming', 'Business analytics', 'Machine learning', 'Petrochemical', 'SQL', 'Python', 'Recruitment']|Sr. Data Scientist|Not Disclosed|
3|42|1|Post Graduation Not Required|30+ days ago|B.Tech/B.E. in Computers|10 - 15 years|"Job description


Role purpose

As a Principle Architect, you should be good communicator who is able to translate complex requirements into functional architecture. Wed also like you to have hands-on experience on software development and be able to manage complex programs.

What will you do
Review and assess corporate goals, strategies and assets along with everyday processes and procedures and compare those to available information technology resources
Work with network architects and developers to help bolster security tools and protocols to prevent unauthorized access to business-critical data
Contribute ideas and insight to help optimize corporate information management resources to stay current with evolving business trends and new technologies
Educate employees, data technicians and department managers on new changes to infrastructure and policies, with an emphasis placed on recognizing the need for such updates
Define Technology strategy and blueprint that aligns with the business objectives
Track software support lifecyle, define upgrade roadmap and policies to stay ahead of EOL, as well as adopting new features and capabilities
Identify, compare, select and implement technology solution that meets current and future needs
Well versed with Cloud computing, Platform as a service (PaaS), Software as a service (SaaS), Data warehousing, Business Intelligence, Reporting, machine learning and AI
Using agreed standards and tools, to achieve a well-architecture system.
Identify and translate logical system requirements into a prescribed architecture
Define technical requirements (scalability, availability, maintenance, security)
Experience with designing application and database architectures for high availability, clustering, scalability
Architect, design, code and deploy full-scale systems based on critical business outcomes
Collaborates and pairs with other teams (UX, engineering, and product management) to create secure, reliable, scalable software solutions.
Collaborate with business and technical resources to understand and develop solutions that meet business requirements
Collaborate with IT Leaders and partners across the organization from a strategic and tactical perspective to set direction to produce support quality software solutions
Ability to research, investigate and understand new technology solutions and present essential comparisons, pros/cons, and target use cases and recommend solutions
Proactively reviews the Performance and Capacity of all aspects of production: code, infrastructure, data, and message processing
Keeps abreast of industry trends through bench-marking, participation in professional associations etc. in order to advise others of strategic technology direction
Ability to provide recommendations supported by Proof for Concepts (POC), Vendor evaluation other methods that substantiate the proposals and recommendations
Propose solution architecture for business cases supported by evaluations/assessments of multiple vendors/platforms, and present recommendations based on comparative cost / benefits / features / limitations
Ready to participate as an Individual Contributor and a Team Manager managing a team of 2-3 people


What do you need to know

Required:
Proven experience as a Technical Architect
Hands-on experience with software development and system administration
Understanding of strategic IT solutions
Experience in project management and service-oriented architecture (SOA)
Knowledge of selected coding languages (e.g. JavaScript, Java, python)
Familiarity with various operating systems (e.g. Windows, Linux) and databases (e.g. MySQL, Oracle)
Experience in continuous integration and delivery with various tools and platforms (eg: Github, Jenkins)
Experience in cloud infrastructure and services (e.g. AWS Platform) with cloud native application architecture and design
Experience on design and implementation of distributed applications, Microservices, APIs
Experience on modernization of legacy Applications to Microservices architecture, with Containerization and Orchestration tools know how
Good communication skills
Problem-solving aptitude
Experience in Data warehouse and Modelling and tools e.g. Spark
Experience on NoSQL databases and data modelling

Preferred:
Prior management experience
Good analytical and communication skills

What do we offer
Flexible working hours
Company transportation
Training Courses and Workshops
Healthy lifestyle
Work-life balance
Excellent, dynamic and multicultural environment
RoleTechnical Architect
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
LinuxCodingProject managementAnalyticalMySQLJavascriptWindowsInformation managementOracleInformation technology"|['Linux', 'Coding', 'Project management', 'Analytical', 'MySQL', 'Javascript', 'Windows', 'Information management', 'Oracle', 'Information technology']|Principle Architect|Not Disclosed|
4|102|1|Post Graduation Not Required|30+ days ago|B.Tech/B.E. in Computers|3 - 8 years|"Job description
  3-8 years experience in dashboard and report design and development using Power BI / Tableau
3-8 years exp in ETL design and development using SSIS
Strong SQL query development skills
Exposure to Insurance domain
Candidates who can join in 2-3 weeks only please

Job Segment: Consulting, Database, SQL, Technology
RoleOutside Consultant
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
tableauReporting AnalystSQL databaseConsultingqueryManager Technologypower biSSIS"|['tableau', 'Reporting Analyst', 'SQL database', 'Consulting', 'query', 'power bi', 'SSIS']|Industry Consulting Prin. Consultant|Not Disclosed|
5|Less than 10|1|Any Postgraduate|30+ days ago|Any Graduate|3 - 8 years|"Job description
An expert with 3+ years of experience in the following domain with a desire to give back to the community.
Software development
Networking Cyber security
AI/ML, Data Science
Virtualization Cloud Computing
Sales Marketing
Soft skills
What you will do
Conduct training program for the students of Rooman
Design, implement and maintain the software and network solutions
Conduct workshops for colleges and corporates
What is the benefit
Be a part of India s Leading Career development company
Earn additional income during your spare time
Train the next generation of cybersecurity/IT professionals and empower them to fill the 3 million cyber/IT job deficit
Satisfaction of imparting the knowledge to the society

RoleSpecial Education Teacher
Industry TypeEducation / Training
Functional AreaTeaching, Education, Training, Counselling
Employment TypeFull Time, Permanent
Role CategoryTeachers
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
TrainingCareer developmentCloud computingSalesNetworkingcyber securitydata scienceTechnical InstructorVirtualizationTeaching"|['Training', 'Career development', 'Cloud computing', 'Sales', 'Networking', 'cyber security', 'data science', 'Virtualization', 'Teaching']|Technical Instructor|Not Disclosed|
6|51|1|Any Postgraduate|30+ days ago|Any Graduate|4 - 7 years|"Job description
ProArch is seeking a Security Consultant. In this role, you will operate as a Security Consultant for primarily India-based security opportunities. The Security Consultants will leverage ProArchs security tools to assess, plan, implement controls to detect and prevent cyber threats to customers. The security consultant will be part of a select group of security experts and work on unique security solutions associated with next-generation technologies and protect against emerging security threats. Ongoing training and professional certifications are part of the job requirements
Your job will report to the CTO of Security and Cloud. In addition to delivery responsibilities, you will be responsible for presenting technical sales material, assisting in presales proposal generation, providing customer-facing presentations and webinars, and participating in required internal deliverables. Initially, this position will be heavily focused on presales, but eventually, this position will be 70% delivery and 30% presales.

Security Deliverable Responsibilities
Develops security strategy plans and roadmaps based on sound enterprise security practices
Evaluate customers environments and perform compliance and gap analysis
Develop a Plan of Action and Milestones for customers
Provide a consultative approach to recommended security controls
Perform control implementation to detect and respond to threats
Perform Security Assessments and deliver Quarterly Security Reports
Interact and work closely with ProArchs Global Security Team.
Participate in Incident Response actions as needed
PreSales Expectations
Develops and maintains security artifacts - standards, procedures, and delivery templates
Understands emerging technology trends and disruptions and the practical application of existing, new, and emerging technologies to enable new and evolving business and operating models.
Meet client and sales expectations for deliverables.
Solution demos.
Demonstration of value to clients using Proofs of Value / Proof of Concepts.
Participate in Security marketing material generation.
Achieve Microsoft Security certifications as required for the job role.
Readiness to travel up to 20% annually (when it is safe to return to traveling).
Bachelors degree preferred in computer science, information technology, engineering analysis, or security management.
Minimum of five years of experience in at least two IT solution development disciplines, including technical or infrastructure architecture, network management, application development, middleware, database management, or cloud development.
Exposure to multiple, diverse technologies, platforms, and processing environments.
Certifications such as CISSP, CCSP, CISM, CISA, GSEC, GIAC, or CEH are desirable.
Good understanding of new and emerging security technology trends and applying security best practices and principles.
Experience working for a technology solution provider is helpful but not required.
Experience in the eight information security domains of ISC2 CBK.
Experience delivering presentations to executives and technical audiences.
Trusted and respected as a security professional who can influence and persuade business and IT leaders and teams.
Independent and self-motivated but can be a proven collaborator when working in a team.
Takes ownership of the project, tasks, and client deliverables.
Exemplary written and verbal communication skills
Document and explain technical details in a concise, straightforward manner.
Displays intellectual curiosity and integrity
Motivated and driven by achieving client success and project success
Ability to work effectively in a team environment and lead cross-functional teams.

Required Professional Experience
Bachelors degree preferred in computer science, information technology, engineering analysis, or security management.
Minimum of five years of experience in at least two IT solution development disciplines, including technical or infrastructure architecture, network management, application development, middleware, database management, or cloud development.
Exposure to multiple, diverse technologies, platforms, and processing environments.
Certifications such as CISSP, CCSP, CISM, CISA, GSEC, GIAC, or CEH are desirable.
Good understanding of new and emerging security technology trends and applying security best practices and principles.
Experience working for a technology solution provider is helpful but not required.
Experience in the eight information security domains of ISC2 CBK.
Experience delivering presentations to executives and technical audiences.

Skills and Competencies
Direct experience in analyzing and creating remediation strategies for vulnerability management programs.
Ability to perform security architecture reviews.
Experience performing penetration testing, web application security reviews, and wireless security assessments is desirable.
Knowledge of information principles and processes.
Full-stack knowledge of IT infrastructure - Applications, Databases, OSes, Hypervisors, IP networks, Storage Networks, Backups, Etc.
Experience operating in hybrid infrastructure with cloud identity services.
Understanding and knowledge of IT standards and controls.
Excellent understanding of application development methodologies and infrastructure and network architecture.
Outstanding analytical, planning, organizational and technical and skills.
Exceptional written and verbal communication skills.
Skilled at influencing, guiding, and facilitating stakeholders and peers with decision-making.
Ability to articulate new ideas and concepts to technical and non-technical audiences.
Ability to understand the long-term (""big picture"") and short-term perspectives of situations.

Characteristics
Trusted and respected as a security professional who can influence and persuade business and IT leaders and teams.
Independent and self-motivated but can be a proven collaborator when working in a team.
Takes ownership of the project, tasks, and client deliverables.
Exemplary written and verbal communication skills
Document and explain technical details in a concise, straightforward manner.
Displays intellectual curiosity and integrity
Motivated and driven by achieving client success and project success
Ability to work effectively in a team environment and lead cross-functional teams
RoleSystem Security
Industry TypeIT Services & Consulting
Functional AreaIT Software - Network Administration, Security
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
WirelessComputer scienceCisaInformation securityApplication developmentGap analysismicrosoftMiddlewareInformation technologyPenetration testing"|['Wireless', 'Computer science', 'Cisa', 'Information security', 'Application development', 'Gap analysis', 'microsoft', 'Middleware', 'Information technology', 'Penetration testing']|Security Consultant|Not Disclosed|
7|201|1|M.Pharma in Pharmacy|30+ days ago|Any Graduate|1 - 4 years|"Job description
Literature and patent evaluation           
Defining product development strategy
Formulation development, optimization, scale-up and technology transfer of generic and new chemical entity projects.
Formulation development by QbD principles to ensure the quality, efficacy and safety of product
Preparation and/or review of technical documents like product development reports, batch records.
Ensuring good documentation practices in laboratory notebooks and batch records.
Communication with cross-functional teams and clients via email and planned meetings
Extending cooperation to support team for smooth functioning of project
Ensuring completion of project within agreed timelines.
Ensuring the use of personal protective equipment wherever required during batch execution
Overview the calibration and equipment maintenance activity in laboratory
Follow GxP (GMP, GDP etc.) for all processes and train the subordinates to follow the same
Qualifications
M.pharm in Pharmaceutic



RoleR&D Executive
Industry TypePharmaceutical & Life Sciences
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryR&D
Education
UG :Any Graduate
PG :M.Pharma in Pharmacy
Key Skills
Product DevelopmentM . PharmTechnology TransferFormulation DevelopmentGmpCalibrationGood Documentation PracticesResearch Associate"|['Product Development', 'Technology Transfer', 'Formulation Development', 'Gmp', 'Calibration', 'Research Associate']|Senior Research Associate|Not Disclosed|
8|137|1|Any Postgraduate|30+ days ago|Any Graduate|1 - 4 years|"Job description
KEY EXPECTED ACHIEVEMENTS
Within the DCAD central team (station A) or in the digital factory,
Assisting the client in defining and expressing his or her needs.
Identifying issues and opportunities with the client/business partner to accelerate digital processing and increase business impact.
Grasping and detailing the clients functional and technical requirements to properly clarify the needs expressed.
Ensuring that all DCAD requirements are met (hosting, security and confidentiality of data).
Working closely with the digital factories to validate the relevance of the proposed solution, the availability of teams, skills, and the feasibility to develop the solution.
Capitalizing on acquired knowledge and securing the satisfaction of clients and partners.
Solution success
The solution implemented satisfies the functional needs of the business.
The business uses the digital solution.
The projects and solutions implemented comply with DCAD requirements and effectively use the standards supported by the development tools and software packages that support the solution.
A Long-term collaboration is established between the Digital Business Analyst, business teams and digital factories.
Analysis and translation of the customer need
Understanding the business processes within its field and its use cases.
Helping the client/business partner in expressing its needs, understanding (through involvement in business activities) and challenging business requirements.
Studying the needs expressed.
Analyzing the functional, environmental and technical characteristics of the desired type of solution (regulations, organizations, assembly, manufacturing, operating and safety constraints).
Helping the project manager in mapping technical and functional risks and estimating their importance.
Analyzing technical proposals to help the client choose by validating with the WebOp team that the DCAD requirements for hosting, security and confidentiality of data are met.
Advising and validating the solution and the development modalities with the customer (make or Buy).
Project Management Assistance
Assisting the creation of the functional brief to better understand and guide the digital project or Drafting the Functional Specifications Document (FSD)
In factory, accompanying the project teams up to the point of recommendation (make or Buy).
Assuring the link between the business entity and the digital factory identified to develop the solution.
Technology Watch
Regulatory and contractual management
Knowing the regulations and requirements in place in the business specialty or sector
Communicating and promoting the Groups requirements
RoleBusiness Analyst
Industry TypeBPO / Call Centre
Functional AreaIT Software - ERP, CRM
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
StationTranslationSoftware packagesBusiness AnalystProject managementManager TechnologyManagementCRM"|['Station', 'Translation', 'Software packages', 'Business Analyst', 'Project management', 'Management', 'CRM']|CRM - Business Analyst|Not Disclosed|
9|315|1|Any Postgraduate|30+ days ago|Any Graduate|2 - 5 years|"Job description

Role Summary:
Flowserve is the recognized world leader in supplying pumps, valves, seals, automation, and services to the power, oil, gas, chemical, and other industries. With more than 15,000 employees in more than 50 countries, we combine our global reach with a local presence. Join a company with the most comprehensive product lines and broadest applications experience in the world. Youll be part of a team known for its industry-leading talent, unparalleled portfolio and unmatched commitment to customer success. Our culture promotes recognition and rewards creativity, hard work and commitment. We invite you to put your talents and experience in motion with Flowserve. Flowserve is an Equal Opportunity Employer.
Preferred Experience / Skills:
Bachelor s degree in Electronics and Instrument Engineering with 4+years of related experience in related industry.
Excellent ability to read and understand engineering drawings/documents/reports.
Perform Calculation, Layout, Drawings BOM
Must be conversant with drafting standard ANSI Y 14.5.
Proficient in 3D modelling (Solid works) and AutoCAD 2D drafting.
Proficiency in smart plant instrumentation and E plan software
Hands on experience in rotating equipment instrument is an advantage.
Knowledge of standards and material specifications.
Time management
Preferences:
Sound Knowledge in equipment instruments
Experience with rotating equipment are considered
Responsibilities Requirements:
Perform instrumentation engineering activities including PID, Instrument datasheet, block diagram, logic diagram, Cause and effect diagram, Instrument schedules and wiring diagrams in accordance with customer requirements, company s objective and policy
Preparation of instrumentation BOM with specification
Provide technical support to supply chain including review vendor and buy out drawings.
Support production by providing tactical advice and guidance on specification deviation and waivers and other activities where required
Develop and support test plan for the subsystem and complete
Provide commissioning and warranty support as required
Review complete technical documentation package to validate the Product performance against customer requirement
Complete the technical fulfill of job requirement
Meet project timelines for Engineering documentation and gather approval
RoleDesign Engineer
Industry TypeIndustrial Equipment / Machinery
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryEngineering Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
OilAutocadPumps2D DraftingTechnical SupportGasInstrumentation EngineeringWiring DiagramsSolid WorksRotating Equipment"|['Oil', 'Autocad', 'Pumps', '2D Drafting', 'Technical Support', 'Gas', 'Instrumentation Engineering', 'Solid Works', 'Rotating Equipment']|Engineer_Associate (Pumps)|Not Disclosed|
