|Job Applicants:|Posted:|UG :|experience|job_desc|key_skills|position|salary|Openings:|PG :|Doctorate :
0|191|23 days ago|Any Graduate|3 - 8 years|"Job description
Scope of Job
Seeking a technical analyst responsible for development and maintenance of ABAP programs in S/4 HANA system. The role will involve analysis, design, coding in ABAP and application scenario testing/implementation in various functional areas.
Key Tasks and Activities:
Transform traditional ABAP programs in legacy SAP system into S/4 HANA architecture.
Design and implement CDS and AMDP based on the business requirement.
Adobe forms development in S/4 HANA (Online and Offline scenarios).
Compile Technical Specification document for all the developments.
End to end testing of all applications.
Key Skills/Knowledge Required:
Minimum 5 years of OO ABAP development experience in a complex landscape.
Minimum 2-3 years of development experience in S/4 HANA.

RoleERP Consultant
Industry TypeEngineering & Construction
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM
Education
UG :Any Graduate
Key Skills
Adobe FormsCdsSAP ABAPSap FioriTechnical AnalysisOO ABAPHana"|['Adobe Forms', 'Cds', 'SAP ABAP', 'Sap Fiori', 'Technical Analysis', 'OO ABAP', 'Hana']|SAP ABAP S/4 HANA Programmer|Not Disclosed|||
1|Less than 10|30+ days ago|B.Tech/B.E. in Computers|1 - 5 years|"Job description
Description rapidBizApps has been helping big corporations around world to scale their operational efficiency using Mobile, Web, IoT, VR & other cutting- edge technologies. In the process, rBA has become as trusted partner in Enterprise Mobility space. We solve business problems by building powerful and efficient solutions driven by advanced technology and a committed team. At rBA, we are constantly looking for talented individuals to join our growing team of world- class engineers.

rapidBizApps specializes in building reliable, scalable, and user friendly apps that push the productivity frontier at mining, manufacturing, and construction companies. Our purpose is to help companies realize increased revenue and profitability by using technology to significantly increase operational efficiency. We invest significantly in bleeding edge technologies such as Machine Learning to enhance the value provided to our customers through our cloud based products that can also be deployed on- prem.

Our primary software stack involves the MEAN stack, Objective- C and Swift (for iOS) , Java (for Android) , and C# (for Windows) . We also do quite a bit of DevOps on AWS and Azure.

RoleTechnical Architect
Industry TypeBPO / Call Centre
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
Miningenterprise mobilitydevopsMachine learningManager TechnologySoftware ArchitectSwiftWindowsOperationsAndroid"|['Mining', 'enterprise mobility', 'devops', 'Machine learning', 'Software Architect', 'Swift', 'Windows', 'Operations', 'Android']|Software Architect|Not Disclosed|1|Post Graduation Not Required|
2|49|30+ days ago|Any Graduate|2 - 6 years|"Job description
We re looking for an experienced Software Engineer with C/C++ or/and GoLang to join our team.
Responsibilities
Take ownership of simple to complex development projects.
Responsible for the development and maintenance of key system features
Will work with other team members to investigate design approaches, prototype new technology and evaluate technical feasibility.
Will work in a fast-paced environment to deliver high-quality software against aggressive schedules.
Prepare technical requirements and software design specifications
Install and support systems used internally by development
Responsible for helping to document the software
Technical Skills
Bachelor degree in Computer Science, Engineering, a related field or equivalent work experience.
Strong GoLang and C/C++ language skills. Compilers, linkers, macros and function pointers don't scare you.
Familiarity with developing on Web API and command-line applications.
Experience working in a Linux/Unix command line environment.
Shell scripting (BASH) and basic Unix tools (awk, sed, tail, head, grep, etc).
Ability to understand and debug build systems
Knowledge of Linux, OS X, Unix, Android and Windows operating system internals and debugging.
Knowledge of TCP/IP networking (proxies, firewalls, etc.), and common web technologies (HTTP, REST, Web Services, XML, etc.).
Ability to work independently while managing multiple task assignments.
Strong initiative, written and verbal communication skills.
Solid experience in Multi-threaded and Concurrent programming
TCP/IP socket programming
Familiarity with GoLang leading opensource libraries
Static and dynamic analysis tools
Working knowledge of encryption tools and technologies
Experience with Docker and Kubernetes a plus.
XML/JSON
GIT or similar version control software
Experience using Wireshark to evaluate and/or troubleshoot networking issues
NoSQL and Relational Databases experience
ElastiSearch and RabbitMQ experience a plus.
Nice to Have
Hours: Flexible full-time working hours
Compensation: Based on experience
Learning Benefits: We provide an annual stipend to pursue your choice of professional training opportunities, including workshops, classes, books, etc
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
UnixSocket programmingLinuxNetworkingXMLShell scriptingHTTPJSONWindowsAndroid"|['Unix', 'Socket programming', 'Linux', 'Networking', 'XML', 'Shell scripting', 'HTTP', 'JSON', 'Windows', 'Android']|Golang Developer|Not Disclosed|1|Post Graduation Not Required|
3|32|30+ days ago|Any Graduate|1 - 5 years|"Job description
Experience level: 1 - 5 years
Qualification: Automation degree from premier institute.
Graphics implementation expertise in Honeywell GUS, HMIWEB Native window graphis.
Experience is site commissioning is advantageous.
Any other Control system graphics experience interested in learning any types of graphics implementation.
Good verbal / written skills are a must.
RoleSoftware Developer
Industry TypeIndustrial Automation
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
GraphicsAutomationControl systemWindows"|['Graphics', 'Automation', 'Control system', 'Windows']|Graphics developer|Not Disclosed|1|Post Graduation Not Required|
4|38|30+ days ago|B.Tech/B.E. in Production/Industrial|2 - 4 years|"Job description
Experience level: 2 - 4 years
Qualification: B.E., MCA, MCS, MCM, or any other equivalent degree from a premier institute.
Experience in Crystal Reports and other related web technologies.
VB.net with ASP technologies, Experience on MS SQL, Oracle Server.
Experience of working on ERP domain will provide an added advantage.
Good verbal / written skills are a must.
RoleSoftware Developer
Industry TypeIndustrial Automation
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Production/Industrial
PG :MCA in Computers
Key Skills
ERPMS SQLVB.NETWeb technologiesOracle SQLASP.Net.Net"|['ERP', 'MS SQL', 'VB.NET', 'Web technologies', 'Oracle SQL', 'ASP.Net', '.Net']|ASP.net developer|Not Disclosed|1|MCA in Computers|
5|15|30+ days ago|Any Graduate|4 - 5 years|"Job description
Set your E-Commerce skill set to work, helping to execute business requirements into specific systems, applications, or processes in business-to-consumer (B2C) environments
Showcase your in-depth technical knowledge and functional knowledge in IBM Sterling OMS building confidence at client place
Train and guide new team members on Sterling technical and business concepts
Able to support in design or POCs to solve business problems in IBM Sterling OMS for new client initiatives
Should be excited to work on projects that require both Sterling and JavaJ2ee
Build services around Sterling using Java, Rest and SOAP web services.
Should be very strong in core Java
Should be having fair idea in building unit tests around the code implemented
Knowledge on continuous integration is needed
Ensure that the organization s implementations meet the scalability and reliability required for eCommerce operation, as well as analyze and optimize database and core commerce functions for maximum performance
Key Skills
Experience working in eCommerce industry managing high volume applications with an experience of 7 Years or more
Expertise in application development with IBM (Sterling) Order Management Fulfilment Suite with a minimum of 4 to 5 Years of experience
Implementation Experience in Sterling order management with versions greater than 9.0 is preferred
Experience in XML, XSD, SOAP and REST services
Expertise in at least one application server; WebSphere MQ or JBoss or WebLogic
Subject matter expertise in building large-scale retail B2C web applications using Supply Chain and Logistics Systems
IBM Sterling Order Management System Configuration Deployment Toolkit (Sterling CDT), Global Inventory Visibility. Caching technologies is a plus
Comprehensive SDLC experience including strong design skills use of UML, patterns
Agile and waterfall implementation principles and practices
Use of version control management such of SVN, CVS, or GIT
Production environment deployment and maintenance
Provide support in troubleshooting investigations pertaining to the order management systems
Respond quickly to critical requests
Ability to analyze and design data model. Solid hands-on understanding of DB for the Web environment
Performance tuning and optimization for scalability and high availability
Upgrading experience on IBM Sterling Order Management System to 9.3 or higher is a plus
Experience working on Omni Channel Implementations with IBM Sterling OMS is a plus
Exposure towards Cassandra is a plus
RoleSoftware Developer
Industry TypeManagement Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Performance tuningCore JavaUMLJBossXMLWeblogicAgileApplication developmentTroubleshootingSDLC"|['Performance tuning', 'Core Java', 'UML', 'JBoss', 'XML', 'Weblogic', 'Agile', 'Application development', 'Troubleshooting', 'SDLC']|Consultant|Not Disclosed|1|Post Graduation Not Required|
6|38|30+ days ago|Any Graduate|1 - 2 years|"Job description
1.Synthesizing chemicals in a lab
2.Conduct research and submit it to industry
3.Assessing the effects of chemicals in everyday life
4.Overseeing complex projects
5.Maintaining lab equipment
6.Produce reports on project development
RoleDesign Engineer
Industry TypeRecruitment / Staffing
Functional AreaEngineering Design, R&D
Employment TypeFull Time, Permanent
Role CategoryEngineering Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Project developmentBiotechnologyChemicalChemical researchBiology"|['Project development', 'Biotechnology', 'Chemical', 'Chemical research', 'Biology']|Biotechnologist|Not Disclosed|1|Post Graduation Not Required|
7|12|30+ days ago|Any Graduate|6 - 7 years|"Job description
Sr. Mobile Developers (Android/ IOS),
a. With 6 years total experience, at-least 4 years experience in mobile development. B
b. Excellent in Android Native, iOS platform application development.

RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Mobile
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Mobile developmentApplication developmentIOSAndroid"|['Mobile development', 'Application development', 'IOS', 'Android']|Sr. Mobile Developers|Not Disclosed|1|Post Graduation Not Required|
8|43|30+ days ago|Any Graduate|5 - 7 years|"Job description
PowerBI Developers -
PowerBI Reporting, DAX and Mquery MS SQL Server, Excel, BI
Job Location- Bangalore
Yrs of Exp-5Yrs
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
MS SQLExcelDeveloper"|['MS SQL', 'Excel', 'Developer']|PowerBI Developers|Not Disclosed|1|Post Graduation Not Required|
9|36|30+ days ago|Any Graduate|2 - 6 years|"Job description

Job Description
Web frameworks expertise with Django (including MVC, API and UI), Python, REST API, Postgre SQL, CI/CD, IaaS/PaaS cloud
Should have experience on Application development side.

RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
SIDEWeb technologiesPostgresqlPAASDjangoCloudApplication developmentMVCPython"|['SIDE', 'Web technologies', 'Postgresql', 'PAAS', 'Django', 'Cloud', 'Application development', 'MVC', 'Python']|Postrge Sql|Not Disclosed|1|Post Graduation Not Required|
