|position|salary|experience|job_desc|Posted:|Job Applicants:|key_skills|UG :|PG :|Openings:|Doctorate :
0|Software Developer Trainee(java/python/C++/C#)|₹ 4,00,000 P.A.|0 - 2 years|"Job description
Still waiting to see yourself as a Full Stack Developer???
Wait no longer, Soft Suave is hiring for freshers... Grab this opportunity to join our creative & dedicated team!!!
Outside Bangalore can also apply!!!
Skills Required: JAVA / Python / C++/ C# with Logical and analytical thinking towards the programming .

Eligibility: B.E. / B.Tech / B.Sc / M.E. / M.Tech / MCA - 2019, 2020 and 2021 passed outs only. Immediate Joiners.
Job Location: Bangalore
Salary Package: 4 L Per Annum
What will you be doing?
Execute full software development life cycle (SDLC)
Code, test and troubleshoot programs utilizing the appropriate framework, database, and programming technology.
Write quality and clean code using prescribed specifications.
Analyze performance of programs and take action to correct deficiencies .

Interview Process: Level 1: MCQ Programming test
Level 2 & 3: Programming
Test Level 4: Technical Interview
Why join Soft Suave?
Flexible Working schedules
Office Location: Nearer from main city points
Complimentary snacks and beverages
Casual Dress Code
Great work culture
Goal Based Incentives
Health Insurance and PF schemes
Annual Health check-ups
Festival celebrations, Annual day, Fun @work games, Team Lunch, Sports club
Mentorship programs
Skills and career development programs
The reasons are growing with growing us ! Join the smart technology team and experience the growth!

RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization, BCA in Computers
PG :MCA in Computers
Key Skills
Java
c#C++pythonsoftware development
Skills highlighted with ‘‘ are preferred keyskills"|2 days ago|912|['Java', 'c#', 'C++', 'python', 'software development']|B.Tech/B.E. in Any Specialization, BCA in Computers|MCA in Computers||
1|Software Developer C C++ Java Program Python Full Stack Web Angular|Not Disclosed|0 - 2 years|"Job description
Developers are responsible for writing server-side web application logic They typically develop backend components connect the application with third-party web services and support the front-end developers by integrating their work

Required Candidate profile
Contribute to all phases of the development lifecycle
- Write well designed, testable, efficient code
- Ensure designs are in compliance
- Prepare and produce releases of software components
RoleSoftware Developer in Test (SDET)
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategoryQuality Assurance and Testing
Education
UG :Any Graduate, B.Tech/B.E. in Any Specialization
Key Skills
CSSJQueryMySQLJavascriptPython
full stack developerHTMLJSONAngularSoftware DevelopmentWordpressPHPWeb Development
Skills highlighted with ‘‘ are preferred keyskills"|1 day ago|153|['CSS', 'JQuery', 'MySQL', 'Javascript', 'Python', 'HTML', 'JSON', 'Software Development', 'Wordpress', 'PHP', 'Web Development']|Any Graduate, B.Tech/B.E. in Any Specialization||7|
2|Python Developer|₹ 3,50,000 - 5,00,000 P.A.|0 - 1 years|"Job description
Job description:

Responsibilities:
Analyze and organize raw data
Build data systems and pipelines
Conduct complex data analysis and report on results
Prepare data for prescriptive and predictive modelling
Build algorithms and prototypes
Combine raw information from different sources
Explore ways to enhance data quality and reliability
Identify opportunities for data acquisition
Collaborate with data scientists and architects

Requirements :
Degree in Computer Science or equivalent, with strong fundamentals and problem-solving skills (such as data structures, computational algorithms, and operating systems).
0-1+ years of Data engineering experience.
Strong Python and SQL skills.
Any Cloud Platform experience.
Experience with PySpark, Spark is a huge bonus.

For More Info: 8750687917
RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization, M.Tech in Any Specialization
Key Skills
Python
Predictive ModelingPysparkData QualityAlgorithmsData EngineeringData StructuresData AnalysisSparkSQL
Skills highlighted with ‘‘ are preferred keyskills"|4 days ago|14999|['Python', 'Predictive Modeling', 'Data Quality', 'Algorithms', 'Data Structures', 'Data Analysis', 'Spark', 'SQL']|BCA in Any Specialization, B.Tech/B.E. in Any Specialization|MCA in Any Specialization, M.Tech in Any Specialization|15|
3|"Software Developer (java/python/C++/C#) Fresher| Porur"|₹ 4,00,000 P.A.|0 - 2 years|"Job description
Still waiting to see yourself as a Full Stack Developer???
Wait no longer, Soft Suave is hiring for freshers... Grab this opportunity to join our creative & dedicated team!!!
Outside chennai can also apply!!!

Skills Required: JAVA / Python / C++/ C# with Logical and analytical thinking towards the programming.

Eligibility: B.E. / B.Tech / B.Sc / M.E. / M.Tech / MCA - 2018, 2019, 2020, 2021 and 2022 passed outs only. Immediate Joiners.

Job Location: Chennai, Porur

Salary Package: 4 L Per Annum

What will you be doing?
Execute full software development life cycle (SDLC)
Code, test and troubleshoot programs utilizing the appropriate framework, database, and programming technology.
Write quality and clean code using prescribed specifications.
Analyze performance of programs and take action to correct deficiencies .

Interview Process: Level 1: MCQ Programming test Level 2 & 3: Programming Test Level 4: Technical Interview

Why join Soft Suave? Flexible Working schedules
Office Location: Nearer from main city points
Complimentary snacks and beverages
Casual Dress Code
Great work culture
Goal Based Incentives
Health Insurance and PF schemes
Annual Health check-ups
Festival celebrations, Annual day, Fun @work games, Team Lunch, Sports club Mentorship programs Skills and career development programs

The reasons are growing with growing us ! Join the smart technology team and experience the growth!

RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Key Skills
java
C#C++pythonsoftware development
Skills highlighted with ‘‘ are preferred keyskills"|2 days ago|388|['java', 'C#', 'C++', 'python', 'software development']|B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Any Specialization|MCA in Computers||
4|Developer Associate - Python|Not Disclosed|0 - 3 years|"Job description
Summary:
As an Associate Site Reliability Engineer, you will support in the required adaptation of our public cloud offerings to make it ready for a standardized use restricted cloud environment.Come and be part of the team that can influence the way platform is built for restricted cloud environments. Work with development teams to develop and roll out best practices for a highly available & reliable Private Cloud infrastructure Implement monitoring, logging, alerting mechanisms. Create, maintain and roll out technical best practices documentation.Working with geographically distributed teams.
Experience and Role requirements:
0 - 3 years of relevant experience with Masters/Bachelors in Computer Science.
Experience programming in one (or more) of the following language: Go or Python.
Exposure to tools like Terraform, GitHub, Jenkins and Grafana Dashboard is a plus but not a must.
Exposure to monitoring tools like Prometheus, ELK, Grafana etc. is a plus but not a must.
Basic understanding of Cloud Foundry and Kubernetes concepts.
Good analytical and troubleshooting skills.
Willingness to learn new technologies and adapt according to the team requirements.
Demonstrates good communication skills, team spirit and handling cross team collaborations.
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Computers, B.Tech/B.E. in Computers, BCA in Computers
PG :M.Tech in Computers, MCM in Computers and Management, MS/M.Sc(Science) in Computers, MCA in Computers
Key Skills
Python
JenkinsTerraformCloud FoundryElkGitHubPrivate CloudGrafanaKubernetes
Skills highlighted with ‘‘ are preferred keyskills"|3 days ago|1197|['Python', 'Jenkins', 'Cloud Foundry', 'GitHub', 'Private Cloud']|B.Sc in Computers, B.Tech/B.E. in Computers, BCA in Computers|M.Tech in Computers, MCM in Computers and Management, MS/M.Sc(Science) in Computers, MCA in Computers||
5|Full Stack Developer - Python & Django|Not Disclosed|0 - 5 years|"Job description
Responsibilities
Responsible for design and architecture of functional prototypes and production ready systems
Uses open source frameworks as appropriate Django Preferred
Develops Python and JavaScript code as necessary
Python development to support middleware for REST API
Communicate technical concepts with tradeoffs, risks, and benefits
Evaluate and resolve product related issues
Requirements
Demonstrable experience writing clean, thoughtfully crafted Python or PHP that scales
Strong understanding of JavaScript, HTML, and CSS3
Good understanding of REST APIs and experience in building them.
Experience on asynchronous request handling, partial page updates, and AJAX
Proficient understanding of cross browser compatibility issues and ways to work around such issues
Proficient understanding of code versioning tools, such as Git / Mercurial / SVN
Good understanding of browser rendering behavior and performance
RoleFull Stack Developer
Industry TypeMedical Devices & Equipment
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Front endPHPHealthcareHTMLOpen sourceMiddlewareAjaxCRMPythonCSS3"|9 days ago|740|['Front end', 'PHP', 'Healthcare', 'HTML', 'Open source', 'Middleware', 'Ajax', 'CRM', 'Python', 'CSS3']|Any Graduate|Any Postgraduate|1|
6|Python Developer - Django/Data Structure|Not Disclosed|0 - 1 years|"Job description
Mandatory : Python, Django, Postgres, strong logical skills, strong operating system concepts, strong data structure concepts, multi-threading concepts.

Good to have : Knowledge of REDIS, micro-service architecture, MQTT,Message queues like Rabbit MQ, Kafka, 3rd party API integrations like payment gateways, email APIs, SMS API's. Experience with Pandas, NumPy, Scikit would be a great addition.

Soft Skills : Strong communication skills, high spirited, eager to learn, able to perform in a high pressure environment

Location : - Bangalore,Chennai,Delhi / NCR,Goa,Gujarat,Guwahati,Haryana,Hyderabad,Jaipur, Anywhere in India, Multiple Locations
RoleFull Stack Developer
Industry TypeNGO / Social Services / Industry Associations
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
DjangoData StructurePython
RabbitMQMultithreadingPostgreSQLPandasKafkaMQTT ProtocolsNumpy
Skills highlighted with ‘‘ are preferred keyskills"|12 days ago|1971|['Django', 'Data Structure', 'Python', 'RabbitMQ', 'Multithreading', 'PostgreSQL', 'Pandas']|B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization|Any Postgraduate||Doctorate Not Required
7|Python Developer - Minimum 1 year Experience|₹ 2,50,000 - 6,00,000 P.A.|0 - 1 years|"Job description
We are looking for a backend developer with minimum 1 year experience; who are ready to relocate in Trivandrum.
Experience in Data scraping.
Experience in Python scripting and automation.
Ready to work in rotational shifts, including night shifts for first few months,.
Ability to develop APIs according the project requirements.
Should be able to work independently
Should have good knowledge in Web-Scraping using Selenium, Scrapy and Beautiful Soup.




RoleBack End Developer
Industry TypeBPO / Call Centre
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
Key Skills
data scraping
pythonScrapyAPI TestingAutomation TestingSelenium
Skills highlighted with ‘‘ are preferred keyskills"|1 day ago|Less than 10|['python', 'API Testing', 'Automation Testing', 'Selenium']|Any Graduate|||
8|Python/Django Developer|Not Disclosed|0 - 4 years|"Job description
Responsibilities:
Backend development using python Django, Node Js , and other technologies as suited for the project.
Leading development teams.
In-depth knowledge of Python, Django, and its core principles.
Write effective, scalable code.
Design application architecture as required by clients for their application.
Look into web and mobile-based applications.
Develop backend applications with scalability and performance.
Should be familiar with automated backend testing.
Proficient with REST-based APIs development.
Fluency with HTML5, CSS3, JavaScript, jQuery, AJAX.
Knowledge of at least one client-side app framework such as Backbone. js, AngularJS, Ember.js, etc.
Improve functionality of existing systems.
Implement security and data protection solutions.
Assess and prioritize feature requests.
Coordinate with internal teams to understand user requirements and provide technical solutions.
Integrate innovative ideas to improve application development.

Requirements:
Previous experience working in Python / Django is required.
Good knowledge of NodeJs.
Cloud application architecture design
Experience building web applications using Postgres, MySQL, MongoDB, or other popular RDBMS or Non-relational databases.
Should be proficient with Git (Github/Gitlab/Bitbucket)
Should be experienced with Microservice and Serverless architecture.
Should be skilled in shell scripting.
Should be comfortable with any Linux-based OS and using a command-line interface.
Should have knowledge about continuous integration software such as Jenkins.
Should be able to design application server architectures on the cloud (AWS, Azure, GCP, etc.)
Should be able to tackle any kind of problem that may come while developing and learn new things very quickly.
Must be good in logic and coding abilities.
Strong analytical skills with excellent problem-solving ability.
Must be passionate and self-motivated.
Excellent team player and good communication skills.
Considerable knowledge about Application development frameworks such as Django, ExpressJs, Koajs, Spring Boot, Laravel, etc.
Basic qualifications - Strong CS fundamentals in object-oriented design, design patterns, data structures, algorithm design, and operating systems.
Should be a quick learner, sincere with leading ability.


Required Skills:
Python, Django, REST APIs, Javascript, Nodejs, Postgresql, Mysql, MongoDB, AWS or any other cloud, Design patterns, Git, Linux, web technologies, web development, HTML


Benefits:
5 days working culture (WFH during covid)
Benefits of permanent remote work with the flexibility of minimum visits to the office.
Healthy and rewarding working environmentJava
Yearly increment and bonus benefits
Follow flat hierarchy
Provide training facilities and organize knowledge-sharing programs.
Create a leadership culture focused on development.
Diverse learning - ReactJs, ReactNative, Electron, Nextjs in advanced level.
Opportunities for working on new technologies.


RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
DeploymentDjangoRest Api DevelopmentMySQLPython
Algorithm DevelopmentCloud ServicesDesign PatternsWeb TechnologiesData StructuresHTMLDevopsNodejs ApplicationsGITLinuxJavascriptMongoDBAWS
Skills highlighted with ‘‘ are preferred keyskills"|2 days ago|3528|['Deployment', 'Django', 'MySQL', 'Python', 'Algorithm Development', 'Design Patterns', 'Web Technologies', 'Data Structures', 'HTML', 'Devops', 'GIT', 'Linux', 'Javascript', 'MongoDB', 'AWS']|Any Graduate|Any Postgraduate|4|
9|Python Developer|₹ 3,50,000 - 7,50,000 P.A.|0 - 3 years|"Job description
Job description:

Responsibilities:
Analyze and organize raw data
Build data systems and pipelines
Conduct complex data analysis and report on results
Prepare data for prescriptive and predictive modelling
Build algorithms and prototypes
Combine raw information from different sources
Explore ways to enhance data quality and reliability
Identify opportunities for data acquisition
Collaborate with data scientists and architects

Requirements :
Degree in Computer Science or equivalent, with strong fundamentals and problem-solving skills (such as data structures, computational algorithms, and operating systems).
0-1+ years of Data engineering experience.
Strong Python and SQL skills.
Any Cloud Platform experience.
Experience with PySpark, Spark is a huge bonus.


Package: 3.80LPA - 5.80LPA
Qualification - Any Degree with good Python knowledge.
Exp = 0 to 1 years
Location = Bengaluru, Pune, Hyderabad
Interested candidates Call +91-8750687917
RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization
PG :MCA in Any Specialization, M.Tech in Any Specialization
Key Skills
Python
Predictive ModelingPysparkData QualityAlgorithmsData EngineeringData StructuresData AnalysisSparkSQL
Skills highlighted with ‘‘ are preferred keyskills"|4 days ago|9837|['Python', 'Predictive Modeling', 'Data Quality', 'Algorithms', 'Data Structures', 'Data Analysis', 'Spark', 'SQL']|B.Tech/B.E. in Any Specialization, BCA in Any Specialization|MCA in Any Specialization, M.Tech in Any Specialization|15|
