|position|salary|experience|job_desc|Posted:|Openings:|Job Applicants:|key_skills|UG :|PG :|Doctorate :
0|Associate Developer|Not Disclosed|0 - 1 years|"Job description
The Digital products engineering group within Syngenta builds innovative products using cutting edge technologies (cloud, micro services, containers, machine learning, mobile and web applications, satellite imaging and others) to make an impactful difference to grower s lives around the world.
Engineers in the digital product engineering team will be working with talented individuals across the world to build innovative products which will be used in different countries.
Engineers will get an opportunity to creatively apply their mind to solve a variety of exciting challenges
Skills Required:
Experience of 0-1 years
Good communication skills
Analytical / logical mindset
Technical Degree (B.E. / preferred)
Qualifications
Technical Degree (B.E. / preferred)


  RoleFull Stack Developer
Industry TypeAgriculture / Forestry / Fishing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial
PG :Any Postgraduate
Key Skills
TrainingProduct engineeringWeb technologiesAnalyticalMachine learningCloudRecruitment"|30+ days ago|1|247|['Training', 'Product engineering', 'Web technologies', 'Analytical', 'Machine learning', 'Cloud', 'Recruitment']|B.Tech/B.E. in Production/Industrial|Any Postgraduate|
1|Developer - Back End|Not Disclosed|0 - 1 years|"Job description
The Digital products engineering group within Syngenta builds innovative products using cutting edge technologies (cloud, micro services, containers, machine learning, mobile and web applications, satellite imaging and others) to make an impactful difference to grower s lives around the world.
Engineers in the digital product engineering team will be working with talented individuals across the world to build innovative products which will be used in different countries.
Engineers will get an opportunity to creatively apply their mind to solve a variety of exciting challenges
Skills Required:
Experience of 0-1 years
Good communication skills
Proficiency in core Java is a must have for this position.
Additionally some knowledge of spring or springboot is nice to have.
Analytical / logical mindset
Technical Degree (B.E. / preferred)
Educational Qualification
Bachelor s Degree in IT


  RoleFull Stack Developer
Industry TypeAgriculture / Forestry / Fishing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial, Any Graduate
PG :Any Postgraduate
Key Skills
TrainingCore JavaProduct engineeringBackendAnalyticalMachine learningCloudSpringRecruitment"|30+ days ago|1|747|['Training', 'Core Java', 'Product engineering', 'Backend', 'Analytical', 'Machine learning', 'Cloud', 'Spring', 'Recruitment']|B.Tech/B.E. in Production/Industrial, Any Graduate|Any Postgraduate|
2|IT Developer|Not Disclosed|0 - 1 years|"Job description
The Digital products engineering group within Syngenta builds innovative products using cutting edge technologies (cloud, micro services, containers, machine learning, mobile and web applications, satellite imaging and others) to make an impactful difference to grower s lives around the world.
Engineers in the digital product engineering team will be working with talented individuals across the world to build innovative products which will be used in different countries.
Engineers will get an opportunity to creatively apply their mind to solve a variety of exciting challenges
Skills Required:
Experience of 0-1 years
Good communication skills
Proficiency in core Java is a must have for this position.
Additionally some knowledge of spring or springboot is nice to have.
Analytical / logical mindset
Technical Degree (B.E. / preferred)


  RoleFull Stack Developer
Industry TypeAgriculture / Forestry / Fishing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial
PG :Any Postgraduate
Key Skills
TrainingCore JavaProduct engineeringWeb technologiesAnalyticalMachine learningCloudSpringRecruitment"|30+ days ago|1|702|['Training', 'Core Java', 'Product engineering', 'Web technologies', 'Analytical', 'Machine learning', 'Cloud', 'Spring', 'Recruitment']|B.Tech/B.E. in Production/Industrial|Any Postgraduate|
3|Web Developer Intern|Not Disclosed|0 - 1 years|"Job description
Responsibilities:
Responsible for developing, maintaining and improving website
Coordination with Internal Teams and delivering desired output to stakeholders.
Ensure high quality graphic standards and brand consistency
Familiarity with browser testing and debugging
Planning Organizing to be able to handle multiple requests daily and take timely decisions for prioritization of tasks.
Knowledge of SEO principles
Understand the final output required and can generate good drafts for final output.
Ensure compliance to all standards and procedures in implementation process and integrate all site elements.
Qualifications:
If you are:
A tech graduate (BE, B.Sc) having experience of 6-12month (maximum)
Good understanding in web markup, including HTML5, CSS3
Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image. Familiarity with tools such as as Gimp or Photoshop is a plus.
Aggressive about meeting goals timelines.
A Multi-tasking super hero.
A Great communicator with undivided focus on satisfying customers.
RoleBack End Developer
Industry TypeAdvertising & Marketing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Chemistry, Any Graduate
PG :Post Graduation Not Required
Key Skills
Web technologiesGIMPDebuggingSEOPhotoshopAnalyticsCSS3"|30+ days ago|1|461|['Web technologies', 'GIMP', 'Debugging', 'SEO', 'Photoshop', 'Analytics', 'CSS3']|B.Sc in Chemistry, Any Graduate|Post Graduation Not Required|
4|WordPress Website Developer|₹ 1,25,000 - 3,00,000 P.A.|0 - 2 years|"Job description
*Website designer using HTML & WordPress
*Knowledge of HTML,JavaScript,CSS, page builders & themes like Astra, Elementator, Wp-bakery, etc
*Providing maintenance support for WordPress sites
*Basic understanding of Digital Marketing & SEO is a plus
RoleFront End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
Key Skills
CSSWordpressHTML
SEO AnalysisJavascriptPHPJQueryWeb Designing
Skills highlighted with ‘‘ are preferred keyskills"|4 days ago||1332|['CSS', 'Wordpress', 'HTML', 'SEO Analysis', 'Javascript', 'PHP', 'JQuery', 'Web Designing']|Any Graduate||
5|Developer|Not Disclosed|0 - 1 years|"Job description
Provides application software development services or technical support in straightforward projects using established procedures
Understands and follows the Software Development Life Cycle
Uses existing, established procedures to complete development, coding and testing of simple computer programs
According to standard procedures, identifies appropriate data elements and defines report formats
Creates database queries used to retrieve data from data warehouse and performs data calculations, consolidation, and summarization
Creates additional logic leveraging standard report writer functions or application coding
Formats report output according to standard procedures
Conducts unit and system testing of programs, including those for distributed reporting, for accuracy and completeness
Ensures execution of the report is within acceptable performance standards and test results are approved prior to implementation according to standard procedure
Develops detailed flowcharts to show processing logic for simple programs, using standard conventions
Compiles documentation written by more senior developers of all procedures used in system
Contributes to the achievement of team objectives
Bachelors degree in computer science or a related discipline, or equivalent work experience required
0-1 years of experience required, related internship experience is a plus
RoleFull Stack Developer
Industry TypeBanking
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceSystem testingCodingSoftware development life cycleDatabaseRepresentativeApplication softwareInternshipData warehousingTechnical support"|4 days ago|1|177|['Computer science', 'System testing', 'Coding', 'Software development life cycle', 'Database', 'Representative', 'Application software', 'Internship', 'Data warehousing', 'Technical support']|Any Graduate|Any Postgraduate|
6|Full Stack Developer - Project Trainee|₹ 3,75,000 - 4,00,000 P.A.|0 years|"Job description
Job Description -
MKCL (Maharashtra Knowledge Corporation Limited) is looking for dynamic candidates for the position of Full Stack Developers (Project Trainees).
The aspirants should aspire to solve real world problems using technologies and make a positive impact on the society through their work. The role requires persons who are team players with problem-solving skills and have eagerness to learn and innovate. Applicants should have passion for Full Stack Development.


Vacancy -
MKCL (Maharashtra Knowledge Corporation Limited) is looking for 100 Project Trainees


Eligibility -
Educational qualifications:
- B.E. / B.Tech. (Computer Engineering/IT/E&TC),
- MCA (Master of Computer Applications),
- MCS (Master of Computer Science),
- M.Sc. (Computer Science/IT),
- M.S. (Computer Science),
- M.E./M. Tech. (Computer Engineering/IT/E&TC), appearing for appearing for final semester examination in the year 2022 from recognized universities,
- Any other Graduation with CDACS DAC Course from the batch completed in April 2022


Place of Posting:
Candidates will have to give preference for posting at any one of the following locations in the application. MKCL has only Work at Workplace policy.
MKCL Pune office: ICC Trade Tower, 'A' Wing, 5th Floor, Senapati Bapat Road, Shivajinagar, Pune, Maharashtra 411016
MKCL Navi Mumbai office: Plot No.30, Sector 42-A, Seawoods West, Nerul, Navi Mumbai, Maharashtra 400 706
MKCL Nagpur office: Chandraprastha"", Plot No 7, Ring Road, Near Padole Square, Deendayal Nagpur, Ranapratap Nagpur, Nagpur, Maharashtra 440022


Perks and Benefits -
In addition to the Annual Compensation, the employee will also get medical and accidental Insurance Coverage as mentioned below:
Medical Insurance Cover of Rs. 4 Lakhs per annum
Accident Insurance Cover of Rs. 10 Lakh per annum


Application Process -
Candidates will have to apply online from Wednesday, June 1, 2022, by visiting MKCLs career page https://mkcl.org/careers (The detailed process is mentioned on the website)
Last date to apply online is Wednesday, June 22, 2022 upto 5 pm.



RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers, MCA in Computers, MS/M.Sc(Science) in Computers
Key Skills
Fullstack Development
ProjectSoftware DevelopmentfresherSoftwaretraineeproject trainee
Skills highlighted with ‘‘ are preferred keyskills"|5 days ago|100|671|['Project', 'Software Development', 'fresher', 'Software', 'trainee']|B.Tech/B.E. in Computers|M.Tech in Computers, MCA in Computers, MS/M.Sc(Science) in Computers|
7|Associate Developer Java|Not Disclosed|0 - 1 years|"Job description
About Medline:

Medline is America's largest national manufacturer and distributor of health care supplies and services. Today, Medline manufactures and distributes more than 550,000 medical products, encompassing medical-surgical items and one of the largest textile lines in the industry. With 20 manufacturing sites across North America and over 25 joint venture manufacturing plants worldwide, along with 45 distribution centers in North America and 50 throughout the world, Medline posted $ 20.1+ billion sales last year. Medline ranked #16 in Forbes 2021 list of Americas largest private companies and ranked #9 in worlds largest medical device companies by MDO” based on 2019 Revenues.

Medline Industries India Pvt. Ltd. is engaged in providing offshore business support services to Medline Industries Inc. & its global associate companies in the area of Information Services, Finance & Business processes Management. Medline Industries India Private Limited was setup in 2010 in Pune, India and today we are proud team of over 900+ associates supporting Medline’s healthcare vision across USA, Europe & other International regions.

Why join Medline:

A direct, full-time employment in a large, stable, rapidly growing and yet profitable company.
No ill effects of recent downturn/recession.
First-rate compensation and benefits package.
Genuine individual growth potential in this new establishment.
Open door and highly ethical work culture, with due accountability.

Job Description:

Medline India is looking for Fresh minds at Associate level in various teams. Person should be a dynamic, hard-working professional with a solid education and a desire to work for a fast-paced, large corporate organization with a “roll-up your sleeves” attitude. Person should align with Medline Core values.

Job responsibilities of the position include:

Understand basic requirements, problem statements and develop effective solutions.
Design, Code, Test, Debug and Document software using Core Java and Spring Framework.
Develop, maintain and support applications in the software landscape of the organization.
Follow all department standards and methodologies.
Exchange information with the business and IT stakeholders in a timely and effective manner.
Collaborate well within the team and proactively raise flag with supervisor.

Skills / Experience:
Required:
Proficient in Object Oriented Programming.
Solid knowledge of Core Java and JDK 8+ features.
Experience in Spring Core, Spring Boot, JPA and Hibernate.
Experience in writing SQL queries.
Should have worked on an end-to-end project under academics, internship or job.
Expert analytical skills with problem identification and resolving ability,
Shows zest and ability to explore new approaches/ languages/ framework/ best practices.
Undertakes assigned work with sense of accountability and ownership.
Shows creativity and out of box thinking in any activities at workplace.
Enthusiastic and should possess the ability to quickly learn new things.
Ability to plan and organize things effectively.
Excellent verbal and written communication skills.
Collaborates within the team and works as a team player to meet the goals in an error-free and timely manner.
B.E, BTECH or MCA in information technology, computer science, or computer engineering from a Tier I or II college.
Minimum 60% throughout graduation/post-graduation.
RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
debuggingcore javaSQL
sql queries
Skills highlighted with ‘‘ are preferred keyskills"|19 days ago||539|['debugging', 'core java', 'SQL', 'sql queries']|Any Graduate|Any Postgraduate|
8|Associate Developer Dot Net|Not Disclosed|0 - 1 years|"Job description
Roles and Responsibilities
Job Brief
This programmer develops and enhances database applications using C# and Microsoft SQL Server. The Developer will work collaboratively in a multi-disciplinary team environment to develop, maintain and support desktop applications used by Sales and Product Managers within our GUI framework, as well as backend processes/services that support the front-end clients, through rapid prototyping and high frequency iterations of potential solutions.

Desired Candidate Profile
Responsibilities
Design, develop, and deliver Console / WPF / Web applications per requirements supplied by off-site project managers and business leads in Sales area.
Translate functional/business needs into technical requirements.
Develop test plans, prepare test data, test, and document results.
Create and deliver documentation as necessary to ensure proper use of changed and newly implemented efforts.



RoleOther
Industry TypeMedical Services / Hospital
Functional AreaOther
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers
Key Skills
test dataSQL ServerWPF
c#front endrapid prototypingweb technologiesproduct sales.net
Skills highlighted with ‘‘ are preferred keyskills"|23 days ago||746|['test data', 'SQL Server', 'WPF', 'c#', 'front end', 'web technologies', 'product sales', '.net']|B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers||
9|Angular Developer(3-4 Years)|Not Disclosed|0 - 4 years|"Job description
What are my Job Responsibilities
You should have good Hands-on with Angular Latest version, Preferably 8+.
You should have Strong knowledge of Angular, Javascript, HTML CSS.
You Should have Thorough understanding of the responsibilities of the platform, database, API, caching layer, proxies, and other web services used in the system.
You should be able to Write automated unit tests and integration tests for the implemented features.
You need to Ensure conformance to quality processes to help project in meeting quality goals.
You Should be able to effectively investigate reported software defects, debugging skills.
You should be Proactive in interacting with product owner and architects for technical clarifications and presentations.
You should be able to communicate clearly and effectively at various levels - intra team, inter group, spoken skills, written skills - including email, presentation and articulation skills.
What do I need to be Eligible for this Role
An engineering degree B.E/B.Tech/MCA/M.Tech/M.Sc.
Exposure to IoT, cloud domain (AWS) would be an added advantage
Exposure to Building Automation domain would be an added advantage
3 - 4 Years of Relevant experience in Front End(Angular) Development.
RoleNetwork (Support) Engineer
Industry TypeIndustrial Automation
Functional AreaEngineering - Hardware & Networks
Employment TypeFull Time, Permanent
Role CategoryIT Network
Education
UG :B.Tech/B.E. in Production/Industrial
PG :M.Tech in Electronics/Telecommunication, MS/M.Sc(Science) in Chemistry, MCA in Computers
Key Skills
AutomationFront endWeb servicesDebuggingCloudJavascriptManager TechnologyDatabaseSiemensHTML"|30+ days ago|1|234|['Automation', 'Front end', 'Web services', 'Debugging', 'Cloud', 'Javascript', 'Database', 'Siemens', 'HTML']|B.Tech/B.E. in Production/Industrial|M.Tech in Electronics/Telecommunication, MS/M.Sc(Science) in Chemistry, MCA in Computers|
