Subject,Description
Statistical – Numerical – Fourier Techniques,"Numerical solution of Algebraic and Transcendental equations:
Method of False position, Newton- Raphson method (with derivation), Fixed point iteration method
(without derivation).
Numerical solution of Ordinary differential equations: Taylor’s Series method, Euler and
Modified Euler method, Fourth order Runge–Kutta method
Fourier Series: Periodic functions. Dirichlet’s conditions, Fourier series, Half range Fourier sine and
cosine series. Practical examples, Harmonic analysis.
Fourier Transforms: Infinite Fourier Transform and Properties. Fourier Sine and Cosine Transforms
Properties and Problems.
Probability: Random Variables (RV), Discrete and Continuous Random variables, (DRV, CRV)
Probability Distribution Functions (PDF) and Cumulative Distribution Functions(CDF),
Expectations (Mean, Variance). Binomial, Poisson, Exponential and Normal Distributions. Practical
Examples
oint PDF and Stochastic Processes: Discrete Joint PDF, Conditional Joint PDF, Expectations
(Mean, Variance and Covariance).Definition and classification of stochastic processes. Discrete state
and discrete parameter stochastic process, Unique fixed probability vector, Regular Stochastic
Matrix, Transition probability, Markov chain.
"
DATA STRUCTURES WITH C (Theory),"Pointers, Structures: Introduction to Pointers, Pointers and Arrays, Pointers to Pointers, Pointers to functions,
Dynamic memory management in C (malloc(), calloc(), free() and realloc() functions). Introduction to Structures,
Declaration, Initialization, Accessing Structures, Internal implementation of Structures, Union and its Definition.
Self-learning topics: Enumerations.
Files, Linked lists:
Files in C: Text input output with respect to files in C, Basic file handling functions in C.
General linear lists: Basic operations, Implementation, List ADT. Complex implementations: circular linked lists,
doubly linked lists.
Files, Linked lists:
Files in C: Text input output with respect to files in C, Basic file handling functions in C.
General linear lists: Basic operations, Implementation, List ADT. Complex implementations: circular linked lists,
dToubly linked lists.
Stacks & Queues:
Stacks: Basic Stack operations, Stack ADT, Stack linked list Implementation, Stack applications: Conversion of
Expression (Infix to Postfix), Evaluation of Expressions.
Queues: Queues, Queue ADT, Circular Queues Linked list design, Queue applications.
Self-learning topics: Implementation of stacks and queues using arrays
rees: Basic tree concepts, Binary trees, Binary search tree ADT, general trees, Binary search tree (BST) concept,
BST operations, BST Applications. AVL trees basic concepts.
Heaps and Hashing
Heap: Basic concepts, Heap implementation, Heap ADT, Heap applications
Hashing: Basic concept, Hashing methods, collision resolution."
Digital Electronics ( Theory),"Revision of Logic gates and Boolean algebra, Simplification of Boolean functions using Basic Logic
gates, Universal Gates, SOP, POS form, K-Map Simplification ( up to 4 variables), Don’t-care Condition,
Quine McClusky method to generate Prime Implicants, Prime Implicants chart, problem solving with
multiple methods.
Tutorial: Implementation of SOP/POS Boolean function using Universal gates.
Data Processing Circuits: Multiplexers, De-multiplexers, Decoder, Encoders and implementation of
Boolean functions using multiplexer and Decoders, Parity Generators and Checkers using XOR gates
Magnitude Comparators (1 bit and 2 bit), PLA, PAL, Adder / Subtracter.
Tutorial: Implementation of Boolean functions using Multiplexer/Decoder, Realization of
Adder/Substracter using logic gates.
Clocks and Flip Flops: Clock waveforms, TTL clock, RS Flip Flops, Gated flip-flops, Edge
triggered RS Flip-Flops, Edge triggered D Flip-Flops, and Edge triggered JK Flip-Flops, JK master
slave Flip Flops, various representations of Flip Flops.
Tutorial: Implementation of flip flops using logic gates.
Analysis of Sequential Circuits: Conversion of flip flops: A synthesis example, Types of Shift
Register, SISO, SIPO, PISO and PIPO, Applications of Shift Registers as Ring Counter, Johnson
Counter, Serial Adder.
Counters: Asynchronous counters (4 bit), Synchronous Counters (4 bit), Changing the counter
Modulus, Decade counter (using IC 7490).
Tutorial: Application of IC 7490, Design and implementation of MOD-N counter
DAC, ADC and Introduction to HDL: Variable, Resistor Networks, Binary Ladders, D/A
converters, D/A Resolution and Accuracy, A/D converters: Simultaneous Conversion, Successive
Approximation and Counter type, A/D Resolution and Accuracy.
Introduction to HDL: Types of Model, Syntax for Data Flow model.
Tutorial: Simple programs for SOP equation, Multiplexer, Decoder and Adder using Verilog."
Object Oriented Programming with Java (Theory),"Unit – I 08 Hours
OOP Paradigm: The key attributes of object-oriented programming.
Java basics: The Java language, JDK, arrays, multidimensional arrays, alternative array declaration,
assigning array references, using the length member, the for-each loop, Strings, using the command line
arguments.
Introducing classes and objects: Class fundamentals, how objects are created, reference variables and
assignment.
Unit – II 08 Hours
Methods and classes: methods, returning from a method, returning a value, using parameters, constructors,
parameterized constructors, the new operator revisited, garbage collection and finalizers, this keyword.
controlling access to class members, pass objects to methods, argument passing, returning objects, method
overloading, recursion, static, nested and inner classes, varargs.
Inheritance: Inheritance basics, member access and inheritance, constructors and inheritance, using super,
multilevel hierarchy, when are constructors executed, superclass reference and subclass objects, method
overriding, polymorphism, using abstract classes, using final, the Object class.
Interfaces: interface fundamentals, creating, implementing and using interfaces, implementing multiple
interfaces, constants in interfaces, extending interfaces and nested interfaces.
Unit – IV 08 Hours
Packages: Package fundamentals, packages and member access, importing packages, static import.
Exception handling: the exception hierarchy, exception handling fundamentals, uncaught exceptions,
handle errors gracefully, multiple catch, catching subclass exceptions, nested try, throwing exception,
throwable, using finally and throws, built-in exceptions, new exception features in JDK7, creating
exception subclasses.
String Handling: String fundamentals, constructors, String related language features, length(),
obtaining characters within a String, String comparison, indexOf() and lastIndexOf(), obtaining a
modified String, Changing Case, StringBuffer and StringBuilder.
Unit – V 08 Hours
Swing fundamentals: origins and design philosophy, components and containers, layout managers,
event handling, push button, JTextField, anonymous inner classes.
Swing Controls: JLabel and ImageIcon, Swing Buttons, Trees."
Computer Organization ( Theory),"Basic Structure of Computers:
Functional Units, Basic Operational Concepts, Bus Structures, Performance – Processor Clock,
Basic Performance Equation, Clock Rate, Performance Measurement, Machine Instructions and
Programs: Numbers, Arithmetic Operations and Characters, Memory Location and Addresses,
Memory Operations, Instructions and Instruction Sequencing. Addressing Modes.
Self learning topics: Computer Types, Historical Perspective
Input / Output Organization:
Accessing I/O Devices, Program controlled I/O, Memory mapped I/O, Interrupts – Interrupt
Hardware, Enabling and Disabling Interrupts, Handling Multiple Devices, Controlling Device
Requests, Direct Memory Access, Bus Arbitration Techniques: Centralized & Distributed, Buses:
Synchronous & Asynchronous
Memory System
Basic Concepts, Semiconductor RAM Memories, Read Only Memories, Speed, Size, and Cost,
Cache Memories–Mapping Functions: Direct Mapping, Associative Mapping, Set-Associative
Mapping.
Arithmetic:
Addition and Subtraction of Signed Numbers, Design of Fast Adders, Multiplication of Positive
Numbers, Signed Operand Multiplication, Fast Multiplication, Integer Division.
Application of the algorithms for arithmetic operations.
Basic Processing Unit:
Fundamental Concepts, Execution of a Complete Instruction, Multiple Bus Organization, Hard-
wired Control.
Self learning topics: Embedded Systems"
Web Programming ( Integrated),"Unit – I 08 Hours
Introduction: The Internet Versus the Web, Serving Up Your Information, Web Page Addresses (URLs),
The Anatomy of a Web Page, A Dizzying Multitude of Devices, Sticking with the Standards, Progressive
Enhancement, Responsive Web Design, Accessibility, Site Performance, Steps to becoming a web
developer, skills and tools, Dos and Don’ts, career trends
Self learning topics: Web history, web standards
Unit – II 08 Hours
HTML5: Basic Elements, drag and drop, File upload, Dropdown menu, audio player, local storage,
graphics and animation, Geolocation and form validation, CSS3: Basic properties, Inheritance, Multiple
classes, Box model, Effects.
Self learning topics: HTML5 code validation
Unit – III 08 Hours
Basics of JavaScript: Dialog boxes, Conditional statements, loops, arrays, objects, events, Jquery:
Add/Remove class, UI Datepicker, File upload, Autocomplete
Self learning topics: JavaScript Code Validation, JQuery basics
Unit – IV 08 Hours
Basics of AngularJS: Form validation, Routing, Controller, Table, Data binding
Self learning topics: AgularJS API, W3.CSS, Includes
Unit – V 08 Hours
Basics of Bootstrap: Grid, Navbar, Table, Dropdown, Form, Layout, Tooltip, Panel, Pop-over, Tabs,
Modals
Self learning topics: Concepts of responsive design, BS4 basic template"
"Calculus, Fourier Analysis and Linear Algebra","Unit – I 10 Hours
Differential Calculus: Taylor’s and Maclaurin’s theorems for function of one variable (statement only)-
problems. Angle between polar curves. Partial Differentiation: Definition and problems. Total
differentiation- problems. Partial differentiation of composite functions- problems.
Unit – II 10 Hours
Laplace Transforms: Definition, Laplace transforms of elementary functions. Laplace transforms
of)t(feat ,)t(ft n ,dt)t(f
t
0 ,t
)t(f (without proof), Inverse Laplace transforms: Inverse Laplace
transforms -problems, applications to solve linear differential equation.
Unit –III 10 Hours
Fourier Analysis: Fourier Series: Fourier series, half range Fourier sine and cosine series. Practical
examples. Harmonic analysis.
Fourier Transforms: Infinite Fourier transform and properties. Fourier sine and cosine transforms.
Properties and problems.
Unit – IV 10 Hours
Numerical Techniques: Numerical solution of algebraic and transcendental equations: Method of
false position, Newton- Raphson method, fixed point iteration method (without derivation).
Numerical solution of ordinary differential equations: Taylor’s series method, Euler and modified
Euler method, fourth order Runge-Kutta method (without derivation).
Unit – V 10 Hours
Linear Algebra: Rank of a matrix by elementary transformation, solution of system of linear
equations-Gauss elimination method and Gauss-Seidal method. Eigen value and eigen vectors –
Rayleigh’s Power method."
Discrete Mathematical Structures and Graph Theory,"Unit-I 08 hrs
Fundamentals of Logic: Laws of Logic, Logical Implication-Rules of Inference. Quantifiers-
Universal and Existential Quantifiers, Proofs Techniques: direct, indirect and Contradiction.
Unit–II 08 hrs
Relations and Functions: Zero-One Matrices and Directed Graphs, Closure and Equivalence
Relations and Partitions, Partial Orders, Hasse Diagrams, Lattice, Properties of functions,
Composition and Invertible functions.
Unit-III 08 hrs
Advanced Counting Techniques: Sterling Number of second kind, Inclusion and Exclusion,
Pigeonhole Principle, Generating Function, Recurrence relations, Solution of Linear homogeneous
and non-homogeneous recurrence relations with constant coefficients, Divide and Conquer
Algorithms, Merge sort algorithm.
Unit-IV 08 hrs
Basic Graph Theory: Definitions and Examples, Subgraphs, Complements and Graph
Isomorphism, Connectivity, Euler Trails and Circuits, Planar Graphs, Hamiltonian Paths and Cycles,
Coloring, Matching.
Unit-V 08 hrs
Elementary Number Theory and Cryptography: Fields, Modular Arithmetic, Prime Numbers,
Fermat’s and Euler’s theorem. Testing of Primality, Chinese Remainder Theorem. Caesar
Encryption/Decryption, RSA Cryptosystem"
Operating System ( Theory),"Unit – I 10 Hours
Introduction to Operating System: System structures: What operating systems do; Operating System
operations; Process management; Memory management; Storage management; Protection and security;
Distributed system; Operating System Services; System calls; Types of system calls; Operating System
structure; System boot.
Introduction to UNIX File System: Inside UNIX, Internal and External Commands, Command
structure.
Case Study: Android Operating System / iOS
Unit – II 09 Hours
Process Management: Process concept; Process scheduling; Process Scheduling: Basic concepts; Scheduling
criteria; Scheduling algorithms.
The Process: Understanding the process, How a process is created, the login shell, init, internal and external
commands, ps.
Unit – III 09 Hours
Process Synchronization: Synchronization: The Critical section problem; Peterson’s solution; Semaphores;
Classical problems of synchronization.
Deadlocks: Deadlocks: System model; Deadlock characterization; Methods for handling deadlocks; Deadlock
prevention; Deadlock avoidance; Deadlock detection and recovery from deadlock.
Unit – IV 09 Hours
Memory Management: Memory Management Strategies: Background; Swapping; Contiguous
memory allocation; Paging; Virtual Memory Management: Background; Demand paging;
Copy-on-write; Page replacement;
Unit – V 10 Hours
File System: Implementation of File System: File System: File concept; Access methods; Directory structure;
File system mounting; File sharing; Protection. Implementing File System: File system structure.
The File System: The parent child relationship, The UNIX file system, Absolute Pathnames, Relative
Pathnames, pwd, cd, mkdir, rmdir, cp, rm, mv, cat. File Attributes: ls, ls-l, ls-d, file permissions, chmod."
Database Management System (Theory),"Unit – I 9 Hours
Introduction: Introduction to database, Characteristics of Database approach, Advantages of using
DBMS approach, Three-schema architecture and data independence.
Entity-Relationship Model: Using High-Level Conceptual Data Models for Database Design; An
Example Database Application; Entity Types, Entity Sets, Attributes and Keys; Relationships,
Relationship types, Roles and Structural Constraints; Weak Entity Types.
CASE STUDY: ER-Modeling of Airline Reservation System, Hospital Management and
Educational Institute.
Unit – II 9 Hours
Relational Model and Relational Algebra: Relational Model Concepts; Relational Model
Constraints and Relational Database Schemas; Update Operations, Dealing with constraint violations;
Unary Relational Operations: SELECT and PROJECT; Relational Algebra Operations from Set
Theory; Binary Relational Operations: JOIN and DIVISION; Additional Relational Operations.
Unit – III 9 Hours
Database Design: Informal Design Guidelines for Relation Schemas; Functional Dependencies;
Normal Forms Based on Primary Keys; General Definitions of Second and Third Normal Forms;
Boyce-Codd Normal Form.
Transaction Processing Concepts: Introduction to Transaction processing, Transaction and System
concepts, Desirable properties of Transactions and issues with concurrent transactions.
SELF STUDY: Triggers 1 Hour
Unit – IV 9 Hours
SQL :SQL Data Definition and Data Types; Specifying basic constraints in SQL; Schema change
statements in SQL; Basic queries in SQL; More complex SQL Queries. Insert, Delete and Update
statements in SQL.
Unit – V 9 Hours
PL/SQL :PL/SQL Block Structure, PL/SQL Variables, PL/SQL Function , PL/SQL Procedure,
PL/SQL IF Statement , PL/SQL Loop Statement: PL/SQL WHILE Loop Statement, PL/SQL FOR
Loop Statement.
SELF STUDY: PLSQL installation and Programming. 2 Hours
"
