Subject,Description
statistical – numerical – fourier techniques:,"numerical solution of algebraic and transcendental equations:
method of false position, newton- raphson method (with derivation), fixed point iteration method
(without derivation).
numerical solution of ordinary differential equations: taylor’s series method, euler andmodified euler method, fourth order runge–kutta methodfourier series: periodic functions. dirichlet’s conditions, fourier series, half range fourier sine andcosine series. practical examples, harmonic analysis.
fourier transforms: infinite fourier transform and properties. fourier sine and cosine transformsproperties and problems.
probability: random variables (rv), discrete and continuous random variables, (drv, crv)
probability distribution functions (pdf) and cumulative distribution functions(cdf),
expectations (mean, variance). binomial, poisson, exponential and normal distributions. practicalexamplesoint pdf and stochastic processes: discrete joint pdf, conditional joint pdf, expectations
(mean, variance and covariance).definition and classification of stochastic processes. discrete stateand discrete parameter stochastic process, unique fixed probability vector, regular stochasticmatrix, transition probability, markov chain.
"
data structures with c (theory):,"pointers, structures: introduction to pointers, pointers and arrays, pointers to pointers, pointers to functions,
dynamic memory management in c (malloc(), calloc(), free() and realloc() functions). introduction to structures,
declaration, initialization, accessing structures, internal implementation of structures, union and its definition.
self-learning topics: enumerations.
files, linked lists:
files in c: text input output with respect to files in c, basic file handling functions in c.
general linear lists: basic operations, implementation, list adt. complex implementations: circular linked lists,
doubly linked lists.
files, linked lists:
files in c: text input output with respect to files in c, basic file handling functions in c.
general linear lists: basic operations, implementation, list adt. complex implementations: circular linked lists,
dtoubly linked lists.
stacks & queues:
stacks: basic stack operations, stack adt, stack linked list implementation, stack applications: conversion ofexpression (infix to postfix), evaluation of expressions.
queues: queues, queue adt, circular queues linked list design, queue applications.
self-learning topics: implementation of stacks and queues using arraysrees: basic tree concepts, binary trees, binary search tree adt, general trees, binary search tree (bst) concept,
bst operations, bst applications. avl trees basic concepts.
heaps and hashingheap: basic concepts, heap implementation, heap adt, heap applicationshashing: basic concept, hashing methods, collision resolution."
digital electronics ( theory):,"revision of logic gates and boolean algebra, simplification of boolean functions using basic logicgates, universal gates, sop, pos form, k-map simplification ( up to 4 variables), don’t-care condition,
quine mcclusky method to generate prime implicants, prime implicants chart, problem solving withmultiple methods.
tutorial: implementation of sop/pos boolean function using universal gates.
data processing circuits: multiplexers, de-multiplexers, decoder, encoders and implementation ofboolean functions using multiplexer and decoders, parity generators and checkers using xor gatesmagnitude comparators (1 bit and 2 bit), pla, pal, adder / subtracter.
tutorial: implementation of boolean functions using multiplexer/decoder, realization ofadder/substracter using logic gates.
clocks and flip flops: clock waveforms, ttl clock, rs flip flops, gated flip-flops, edgetriggered rs flip-flops, edge triggered d flip-flops, and edge triggered jk flip-flops, jk masterslave flip flops, various representations of flip flops.
tutorial: implementation of flip flops using logic gates.
analysis of sequential circuits: conversion of flip flops: a synthesis example, types of shiftregister, siso, sipo, piso and pipo, applications of shift registers as ring counter, johnsoncounter, serial adder.
counters: asynchronous counters (4 bit), synchronous counters (4 bit), changing the countermodulus, decade counter (using ic 7490).
tutorial: application of ic 7490, design and implementation of mod-n counterdac, adc and introduction to hdl: variable, resistor networks, binary ladders, d/aconverters, d/a resolution and accuracy, a/d converters: simultaneous conversion, successiveapproximation and counter type, a/d resolution and accuracy.
introduction to hdl: types of model, syntax for data flow model.
tutorial: simple programs for sop equation, multiplexer, decoder and adder using verilog."
object oriented programming with java (theory):," oop paradigm: the key attributes of object-oriented programming.
java basics: the java language, jdk, arrays, multidimensional arrays, alternative array declaration,
assigning array references, using the length member, the for-each loop, strings, using the command linearguments.
introducing classes and objects: class fundamentals, how objects are created, reference variables andassignment.
 methods and classes: methods, returning from a method, returning a value, using parameters, constructors,
parameterized constructors, the new operator revisited, garbage collection and finalizers, this keyword.
controlling access to class members, pass objects to methods, argument passing, returning objects, methodoverloading, recursion, static, nested and inner classes, varargs.
inheritance: inheritance basics, member access and inheritance, constructors and inheritance, using super,
multilevel hierarchy, when are constructors executed, superclass reference and subclass objects, methodoverriding, polymorphism, using abstract classes, using final, the object class.
interfaces: interface fundamentals, creating, implementing and using interfaces, implementing multipleinterfaces, constants in interfaces, extending interfaces and nested interfaces.
 packages: package fundamentals, packages and member access, importing packages, static import.
exception handling: the exception hierarchy, exception handling fundamentals, uncaught exceptions,
handle errors gracefully, multiple catch, catching subclass exceptions, nested try, throwing exception,
throwable, using finally and throws, built-in exceptions, new exception features in jdk7, creatingexception subclasses.
string handling: string fundamentals, constructors, string related language features, length(),
obtaining characters within a string, string comparison, indexof() and lastindexof(), obtaining amodified string, changing case, stringbuffer and stringbuilder.
 swing fundamentals: origins and design philosophy, components and containers, layout managers,
event handling, push button, jtextfield, anonymous inner classes.
swing controls: jlabel and imageicon, swing buttons, trees."
computer organization ( theory):,"basic structure of computers:
functional units, basic operational concepts, bus structures, performance – processor clock,
basic performance equation, clock rate, performance measurement, machine instructions andprograms: numbers, arithmetic operations and characters, memory location and addresses,
memory operations, instructions and instruction sequencing. addressing modes.
self learning topics: computer types, historical perspectiveinput / output organization:
accessing i/o devices, program controlled i/o, memory mapped i/o, interrupts – interrupthardware, enabling and disabling interrupts, handling multiple devices, controlling devicerequests, direct memory access, bus arbitration techniques: centralized & distributed, buses:
synchronous & asynchronousmemory systembasic concepts, semiconductor ram memories, read only memories, speed, size, and cost,
cache memories–mapping functions: direct mapping, associative mapping, set-associativemapping.
arithmetic:
addition and subtraction of signed numbers, design of fast adders, multiplication of positivenumbers, signed operand multiplication, fast multiplication, integer division.
application of the algorithms for arithmetic operations.
basic processing unit:
fundamental concepts, execution of a complete instruction, multiple bus organization, hard-
wired control.
self learning topics: embedded systems"
web programming ( integrated):," introduction: the internet versus the web, serving up your information, web page addresses (urls),
the anatomy of a web page, a dizzying multitude of devices, sticking with the standards, progressiveenhancement, responsive web design, accessibility, site performance, steps to becoming a webdeveloper, skills and tools, dos and don’ts, career trendsself learning topics: web history, web standards html5: basic elements, drag and drop, file upload, dropdown menu, audio player, local storage,
graphics and animation, geolocation and form validation, css3: basic properties, inheritance, multipleclasses, box model, effects.
self learning topics: html5 code validation basics of javascript: dialog boxes, conditional statements, loops, arrays, objects, events, jquery:
add/remove class, ui datepicker, file upload, autocompleteself learning topics: javascript code validation, jquery basics basics of angularjs: form validation, routing, controller, table, data bindingself learning topics: agularjs api, w3.css, includes basics of bootstrap: grid, navbar, table, dropdown, form, layout, tooltip, panel, pop-over, tabs,
modalsself learning topics: concepts of responsive design, bs4 basic template"
"calculus, fourier analysis and linear algebra:"," differential calculus: taylor’s and maclaurin’s theorems for function of one variable (statement only)-
problems. angle between polar curves. partial differentiation: definition and problems. totaldifferentiation- problems. partial differentiation of composite functions- problems.
 laplace transforms: definition, laplace transforms of elementary functions. laplace transformsof)t(feat ,)t(ft n ,dt)t(ft
0 ,t
)t(f (without proof), inverse laplace transforms: inverse laplacetransforms -problems, applications to solve linear differential equation.
unit –iii fourier analysis: fourier series: fourier series, half range fourier sine and cosine series. practicalexamples. harmonic analysis.
fourier transforms: infinite fourier transform and properties. fourier sine and cosine transforms.
properties and problems.
 numerical techniques: numerical solution of algebraic and transcendental equations: method offalse position, newton- raphson method, fixed point iteration method (without derivation).
numerical solution of ordinary differential equations: taylor’s series method, euler and modifiedeuler method, fourth order runge-kutta method (without derivation).
 linear algebra: rank of a matrix by elementary transformation, solution of system of linearequations-gauss elimination method and gauss-seidal method. eigen value and eigen vectors –
rayleigh’s power method."
discrete mathematical structures and graph theory:," fundamentals of logic: laws of logic, logical implication-rules of inference. quantifiers-
universal and existential quantifiers, proofs techniques: direct, indirect and contradiction.
unit–ii relations and functions: zero-one matrices and directed graphs, closure and equivalencerelations and partitions, partial orders, hasse diagrams, lattice, properties of functions,
composition and invertible functions.
unit-iii advanced counting techniques: sterling number of second kind, inclusion and exclusion,
pigeonhole principle, generating function, recurrence relations, solution of linear homogeneousand non-homogeneous recurrence relations with constant coefficients, divide and conqueralgorithms, merge sort algorithm.
unit-iv basic graph theory: definitions and examples, subgraphs, complements and graphisomorphism, connectivity, euler trails and circuits, planar graphs, hamiltonian paths and cycles,
coloring, matching.
unit-v elementary number theory and cryptography: fields, modular arithmetic, prime numbers,
fermat’s and euler’s theorem. testing of primality, chinese remainder theorem. caesarencryption/decryption, rsa cryptosystem"
operating system ( theory):," introduction to operating system: system structures: what operating systems do; operating systemoperations; process management; memory management; storage management; protection and security;
distributed system; operating system services; system calls; types of system calls; operating systemstructure; system boot.
introduction to unix file system: inside unix, internal and external commands, commandstructure.
case study: android operating system / ios process management: process concept; process scheduling; process scheduling: basic concepts; schedulingcriteria; scheduling algorithms.
the process: understanding the process, how a process is created, the login shell, init, internal and externalcommands, ps.
 process synchronization: synchronization: the critical section problem; peterson’s solution; semaphores;
classical problems of synchronization.
deadlocks: deadlocks: system model; deadlock characterization; methods for handling deadlocks; deadlockprevention; deadlock avoidance; deadlock detection and recovery from deadlock.
 memory management: memory management strategies: background; swapping; contiguousmemory allocation; paging; virtual memory management: background; demand paging;
copy-on-write; page replacement;
 file system: implementation of file system: file system: file concept; access methods; directory structure;
file system mounting; file sharing; protection. implementing file system: file system structure.
the file system: the parent child relationship, the unix file system, absolute pathnames, relativepathnames, pwd, cd, mkdir, rmdir, cp, rm, mv, cat. file attributes: ls, ls-l, ls-d, file permissions, chmod."
database management system (theory):," introduction: introduction to database, characteristics of database approach, advantages of usingdbms approach, three-schema architecture and data independence.
entity-relationship model: using high-level conceptual data models for database design; anexample database application; entity types, entity sets, attributes and keys; relationships,
relationship types, roles and structural constraints; weak entity types.
case study: er-modeling of airline reservation system, hospital management andeducational institute.
 relational model and relational algebra: relational model concepts; relational modelconstraints and relational database schemas; update operations, dealing with constraint violations;
unary relational operations: select and project; relational algebra operations from settheory; binary relational operations: join and division; additional relational operations.
 database design: informal design guidelines for relation schemas; functional dependencies;
normal forms based on primary keys; general definitions of second and third normal forms;
boyce-codd normal form.
transaction processing concepts: introduction to transaction processing, transaction and systemconcepts, desirable properties of transactions and issues with concurrent transactions.
self study: triggers 1 hour sql :sql data definition and data types; specifying basic constraints in sql; schema changestatements in sql; basic queries in sql; more complex sql queries. insert, delete and updatestatements in sql.
 pl/sql :pl/sql block structure, pl/sql variables, pl/sql function , pl/sql procedure,
pl/sql if statement , pl/sql loop statement: pl/sql while loop statement, pl/sql forloop statement.
self study: plsql installation and programming. 2 hours
"
design and analysis of algorithm(theory):," introduction: fundamentals of algorithmic problem solving, analysis framework, asymptoticnotations and basic efficiency classes, mathematical analysis of non-recursive and recursivealgorithms, brute force approaches: introduction, selection sort, linear search.
self learning topics: short tutorial on recurrence relations, bubble sort( 1hr)
 algorithm design technique-i: divide and conquer, decrease-and-conquer transform and conquer,
the general approach and illustration.
applications of divide and conquer technique: binary search, merge sort, quick sort and theirperformance comparison. counting leaf-nodes, tiling-game implementation.
applications of decrease and conquer technique: insertion sort, depth first search and breadth firstsearch. maze-game implementation.
applications of transform and conquer: heaps and heap sort, horner’s rule. clustering.
self learning topics: multiplication of large integers and binary exponentiation. (2 hrs)
 algorithm design technique-ii: the general greedy technique, illustration with examples.
applications of greedy method:kruskal’s algorithm – minimum-cost spanning trees: prim’salgorithm, single source shortest path - dijkstra’s algorithm, huffman trees – encoding of data.
 algorithm design technique-iii: dynamic programming definition and concept illustration. thegeneral method,
applications of dynamic programming:warshall’s algorithm – transitive closure, floyd’s algorithmfor the all-pairs shortest paths, knapsack using general weights and 0/1 knapsack. longest commondifference – used in implementation of diff command and polynomial interpolation.
self learning topics: computing ncr, the dynamic approach (1 hr)
 8hoursalgorithm design technique-iv: backtracking, branch-and-bound, string matching, basics andillustrations.
applications of backtracking: n - queens’s problem, hamiltonian circuit problem, sum of subset –
problem and its use in public key cryptosystem. graph coloring problem.
applications of branch and bound: jobassignment problem, knapsack problem, travelingsalesperson problem. best first search used in ai.
applications string matching: input enhancement in string matching, horsepool’s method, rabin-
karp algorithm. used in text processing toolkits like nltk.
self learning topics: naïve string matching algorithm. (1hr)"
