|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary|Doctorate :
0|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|6 - 10 years|"Job description
Will be responsible for leading a team of engineers working in Development and Implementation of functionality using VHDL / Verilog.
Will need to understand and execute the product design and lead the development activity.
Development and enhancement of products in the area of Design For Testability.
ust have strong experience in Verilog or VHDL
Sound knowledge of digital electronics and design is essential. Experience in Software development in C on any of the flavous of Unix is essential. Strong knowledge of Advanced Data Structures and Algorithms. Ability to do hands on work as well as to manage the project.
RoleTeam Lead/Technical Lead
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Embedded, EDA, VLSI, ASIC, Chip Design
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
algorithmsVHDLsoftware developmentgitcDFTVLSIDigital electronicsVerilogdata structuresProduct designunix"|['algorithms', 'VHDL', 'software development', 'git', 'c', 'DFT', 'VLSI', 'Digital electronics', 'Verilog', 'data structures', 'Product design', 'unix']|Project Lead - DFT|Not Disclosed|
1|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|6 - 10 years|"Job description
The job involves : Will be responsible for leading a team of engineers working in Development and Implementation of functionality using VHDL / Verilog. Will need to understand and execute the product design and lead the development activity. Development and enhancement of products in the area of Design For Testability
Must have strong experience in Verilog or VHDL
Sound knowledge of digital electronics and design is essential. Experience in Software development in C on any of the flavous of Unix is essential. Strong knowledge of Advanced Data Structures and Algorithms. Ability to do hands on work as well as to manage the project.
RoleTeam Lead/Technical Lead
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Embedded, EDA, VLSI, ASIC, Chip Design
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
algorithmsVHDLsoftware developmentgitcDFTDigital electronicsVerilogdata structuresProduct designSoundunix"|['algorithms', 'VHDL', 'software development', 'git', 'c', 'DFT', 'Digital electronics', 'Verilog', 'data structures', 'Product design', 'Sound', 'unix']|Project Lead - DFT|Not Disclosed|
2|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|8 - 13 years|"Job description
Planning and Executing project deliverables on time to meet exacting standards and requirements of customers.
Top level design and architecting of product solutions.
Providing technical leadership while leading a team of engineers.
Ensuring international industry standards in the product design and development.
Must be a Bachelors / Masters in Electronics / VLSI / Microelectronics.
Must have 8 years total experience in front end ASIC design (using Verilog / VHDL)
Experience in development of IPs relating to USB 2.0 (Host and device )
Experience in validation of IP using FPGA at board level
Exposure to design and development of bus interfaces such as AHB , and PCI
Exposure to verification languages (such as VERA , SPECMAN) and functional modeling is desirable
Awareness of industry standards in IP design and working knowledge of Synthesis tools (such as Synopsys Design Compiler is desirable
Knowledge of datacom protocols would be an added advantage
Experience in leading a team of engineers is a must.
RoleProject Lead
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Embedded, EDA, VLSI, ASIC, Chip Design
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
VHDLFront endVLSIFPGAUSBVerilogToolsProduct designIPSSpecman"|['VHDL', 'Front end', 'VLSI', 'FPGA', 'USB', 'Verilog', 'Tools', 'Product design', 'IPS', 'Specman']|Project Lead - Inventra H / w|Not Disclosed|
3|Less than 10|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|5 - 8 years|"Job description
Accountability/Responsibilities
System Architecting, Solution Designing
Consulting users on technology, solutions, processes
Development , Support & Maintenance of Software Applications
Interacting with users for system requirements and understanding
Drafting of System requirement documents and system specifications
Leading the team of Team leaders, Software Developers and Support engineers and executing the defined task and projects
Troubleshooting of problems
Managing system SLAs as defined for various systems
Maintaining of work/task logs, project updates, timesheets of self and team
Management reporting for Project Statuses and updates
Interacting with Vendors and third party service providers as required 
 
Core Competencies
 
Core competence in Development, Enhancement & Service Support of web-enabled, Client Server solutions for various domains
Experience in development of solution and application using below technologies
Must possess excellent programming, designing, architecting skills on Microsoft .
RoleProject Lead
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
mossdevelopmentsasserviceconsultingfilenettroubleshootingportalweb sphereoracle financials"|['moss', 'development', 'sas', 'service', 'consulting', 'filenet', 'troubleshooting', 'portal', 'web sphere', 'oracle financials']|Project Leader .NET technologies|Not Disclosed|
4|12|1|M.Tech in Computers|30+ days ago|B.Tech/B.E. in Computers|5 - 7 years|"Job description
The company is looking for Project Leader CRM who will be responsible for carrying out Architecting, Solution Designing, Consulting, Requirement gathering, Vendor management, software development, maintenance and support related activities individually and in a Project Leader s role.
Accountability/Responsibilities
System Architecting, Solution Designing
Consulting users on technology, solutions, processes
Development , Support & Maintenance of Software Applications
Interacting with users for system requirements and understanding
Drafting of System requirement documents and system specifications
Leading the team of Team leaders, Software Developers and Support engineers and executing the defined task and projects
Troubleshooting of problems
Managing system SLAs as defined for various systems
Maintaining of work/task logs, project updates, timesheets of self and team
Management reporting for Project Statuses and updates
Interacting with Vendors and third party service providers as required
Core Competencies

Core competence in Development, Enhancement & Service Support of web-enabled, Client Server solutions for various domains
Exposure on CRM domain and related technologies. Preferred with Talisma software background
Experience in development of solution and application using below technologies
Must possess good programming, designing, architecting skills on Microsoft .
RoleProject Lead
Industry TypeRecruitment / Staffing
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
mossdevelopmentsoftware developmentsasservicefilenettroubleshootingsiebelcrmweb sphere"|['moss', 'development', 'software development', 'sas', 'service', 'filenet', 'troubleshooting', 'siebel', 'crm', 'web sphere']|Project Leader Customer Relationship Management (CRM)|Not Disclosed|
5|Less than 10|1|Any Postgraduate|30+ days ago|B.Tech/B.E. in Computers|5 - 9 years|"Job description
JobDescription :

• *** JAVA/ J2EE professionals having 5- 9 years of Software Industry experience and hands on for over 4 years on Java / J2EE related technologies.

• *** Must have knowledge of OOPS concepts, Design patterns & UML Skills for Application/ module designs.

• Must exhibit experience in handling mid sized teams involved in assisting and guiding the team technically and helping them troubleshoot design/ programming issues.

• Must exhibit Experience in producing artifacts like Technical Design Document ad Requirement Analysis document reflecting Designs through UML

• *** Must exhibit experience in executing project through SDLC life cycle from Analysis, Work Estimations and Scheduling unto production Deployment

• *** Strong Written and Verbal communication skills.

Desired Skills & Experience :

• *** Language: JDK 1.5/ 1.6

• *** J2EE Technologies: JSP, Servlet

• Frameworks : Struts

• Web Technologies : HTML, Java Script, CSS, AJAX, XML, Web 2.0 technologies , Web services

• Java Script Frameworks: MooTools, Prototype

• Testing Tools : JUnit

• *** Others : Design Patterns, UML, CVS

• *** Team size handled : Average 5- 7

RoleProject Lead
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Computers
PG :Any Postgraduate
Key Skills
cvsproject managementjunittesting toolsumlxmlstrutsdesign patternshtmlajax"|['cvs', 'project management', 'junit', 'testing tools', 'uml', 'xml', 'struts', 'design patterns', 'html', 'ajax']|Project Leader|Not Disclosed|
6|34|1|Post Graduation Not Required|30+ days ago|Any Graduate|4 - 9 years|"Job description

Job Description : Understanding the Client Requirements
Design, Develop, Implement and Manage project
Meeting Delivery schedules

Shall hold overall responsibility for the technical success of the project Candidate profile : Must have designed and led the team technically for at least 23 projects.

Must have good knowledge of .Net and Databases.
Must have good verbal and written communication skills.
RoleProject Lead
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
ManagementProject Leader"|['Management', 'Project Leader']|Project Lead|Not Disclosed|
7|Less than 10|1|Post Graduation Not Required|30+ days ago|Any Graduate|3 - 5 years|"Job description
Mid to Senior C# Developer for Automation Project
Mid - Senior level
Opening Details - Recooty
Job Description
Number of positions : 3
Responsibilities:
Build reusable code and libraries for future use.
Own & build new modulesfeatures end - to - end independently.
Collaborate with other team members and stakeholders.
  Requirements:
Skills and Experience:
Degree in Informatics Engineering, Computer Science or similar
Proficient in C#, with a good knowledge of its ecosystems
Familiarity with the .NET framework
Familiarity with the Mono framework
Strong understanding of object - oriented programming
Skill for writing reusable C# libraries
Familiar with various design and architectural patterns
Knowledge of concurrency patterns in C#
Familiarity with Microsoft SQL Server, MySQL
Experience with popular web application frameworks, such as Nancy
A knack for writing clean, readable C# code
Understanding fundamental design principles behind a scalable application
Creating database schemas that represent and support business processes
Basic understanding of Common Language Runtime (CLR), its limitations, weaknesses, and workarounds
Implementing automated testing platforms in unit tests
Proficient understanding of code versioning tools Familiarity with continuous integration
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Embedded, EDA, VLSI, ASIC, Chip Design
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Computer sciencecontinuous integrationMS SQLAutomation testingWeb applicationMySQLDatabaseObject oriented programming"|['Computer science', 'continuous integration', 'MS SQL', 'Automation testing', 'Web application', 'MySQL', 'Database', 'Object oriented programming']|Mid to Senior C# Developer Automation Project|Not Disclosed|
8|Less than 10|1|Post Graduation Not Required|30+ days ago|Any Graduate|3 years|"Job description
Successful candidate will be responsible for the design and implementation of projects with n-tier application architecture.
Candidate should have experience of software development lifecycle, including the analysis, design, test, implementation, and maintenance of software systems.
The right candidate will be able to clearly demonstrate their ability to deliver complete product solutions.
This engineer must be able to demonstrate an ability to organize and establish feature and functional direction and ultimately deliver solid, reliable product features and components to market.
Qualified candidate needs to possess excellent skills in oral, presentation, and written communication, the ability to solve complex system designs with innovative and elegant designs and solutions and the ability to think outside of the box within a dynamic and fast paced work environment.
Candidates must be willing to work at odd hours, suitable to client s time-zones whenever required.
Job Summary
Hands-on experience in designing and building of complex enterprise applications.
A deep understanding of Microsoft .NET technologies, architecture, configuration, deployment, and performance.
Ability to lead and motivate team of ASP.net developers, c# developers.
Significant application development experience designing and building an enterprise application using Microsoft technologies such as .NET, C# (C Sharp), SOAP, VB.NET, ADO.NET, ASP.NET and AJAX
OR
PHP, MySQL, Apache, Linux, Ajax, OSCommerce, Joomla
Knowledge of UML diagrams and Microsoft Project
Ability to lead project and meet deadline
Good client communication skills
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
OSCommerceLinuxUMLEnterprise applicationsMySQLPHPApplication developmentApacheJoomlaAjax"|['OSCommerce', 'Linux', 'UML', 'Enterprise applications', 'MySQL', 'PHP', 'Application development', 'Apache', 'Joomla', 'Ajax']|Project Leader|Not Disclosed|
9|16|1|Post Graduation Not Required|30+ days ago|Any Graduate|1 - 5 years|"Job description
Coordinate & manage all project lead activities of the company, participate in the development of strategic direction, work in close co- ordination with development team leaders, should be ready to travel. Excellent communication and presentation skills.

You will be working with a team of highly qualified and motivated engineers, building the next generation of our client's web services.

Qualifications:

B.Tech. (or equivalent) with 4 yrs relevant experience or M.Tech. with 3 yrs relevant experience in web production and development.

Solid exp. in Project Leadership with specific examples of projects from start to finish with teams of at least 10 people, working knowledge of tools - ROSE / MS Project / Visio and Rational, proficient in .Net techs. (Frame work, ASP.Net, C#) Leadership quality.
RoleProject Lead
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
developmentproject leadernet technologiesvisioms projectpresentation skillsproject leadershipasp net c"|['development', 'project leader', 'net technologies', 'visio', 'ms project', 'presentation skills', 'project leadership']|Project Leader|Not Disclosed|
